date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
22-Nov-19,43761,48568,39112,18595,2355,152391,510,0,0,0,56,566
19-Sep-19,58521,44953,39955,21509,2766,167704,1136,0,0,150,80,1366
2-Jul-19,60971,43678,40454,19394,2752,167249,1203,0,0,0,189,1392
16-Apr-19,48045,48576,45381,20761,2170,164933,472,0,0,0,208,680
22-Mar-20,39680,46970,43591,17473,2437,150151,564,0,0,0,64,628
14-Sep-19,60107,43067,40188,22434,2667,168463,1680,0,0,0,153,1833
9-Oct-19,42153,39610,36059,16472,2056,136350,441,0,0,0,321,762
4-Feb-20,47975,49234,42415,18407,2463,160494,539,0,0,0,20,559
10-Jan-20,48578,46380,41486,18157,2422,157023,634,0,0,72,44,750
24-Jun-19,52861,44947,36925,19707,2725,157165,512,0,0,0,138,650
30-May-19,55876,51761,43693,22349,2702,176381,884,0,0,0,114,998
4-Oct-19,43726,45902,38789,20523,2743,151683,1929,0,0,0,120,2049
29-Jun-19,61992,44798,42562,20944,2512,172808,1085,0,0,0,248,1333
9-Feb-20,47681,48184,40929,18738,2406,157938,632,0,0,0,46,678
4-Sep-19,58288,44404,38122,22113,2887,165814,2292,0,0,0,176,2468
6-Apr-19,46279,49836,46222,21465,2377,166179,525,0,0,0,123,648
12-Jul-19,55690,46698,40459,17694,2515,163056,1292,0,0,0,241,1533
26-Dec-19,48658,46824,37738,17828,2368,153416,557,0,0,0,27,584
2-Jun-19,55018,51120,44145,21380,2482,174145,999,0,0,0,250,1249
19-Feb-20,46817,50508,44958,18377,2419,163079,565,0,0,0,53,618
10-Feb-20,43924,45532,38522,17884,2291,148153,630,0,0,0,47,677
14-Oct-19,45175,45517,35554,20042,2606,148894,491,0,0,0,88,579
14-Feb-20,46992,50099,42259,18042,2411,159803,639,0,0,0,34,673
20-May-19,48037,48393,41345,21605,2420,161800,580,0,0,0,129,709
19-Oct-19,46959,47944,37804,21222,2735,156664,460,0,0,0,199,659
22-Aug-19,54493,45774,38831,22131,2927,164156,1084,0,0,0,152,1236
24-Oct-19,43932,45515,35538,19221,2524,146730,495,0,0,0,88,583
29-Feb-20,42979,50488,44622,16927,2369,157385,581,0,0,0,25,606
9-Jun-19,54746,50874,41190,20144,2647,169601,872,0,800,0,109,1781
12-Aug-19,53621,40959,36209,20804,2772,154365,1931,0,50,0,147,2128
29-Oct-19,37616,34268,32972,18560,2354,125770,823,0,0,0,70,893
4-Jun-19,56183,50514,40212,19374,2311,168594,355,0,0,0,342,697
10-May-19,54014,50416,44044,22000,2390,172864,1195,0,30,0,121,1346
24-Feb-20,40900,47257,42281,16869,2326,149633,591,0,0,0,26,617
30-Jan-20,45376,48321,41823,18525,2473,156518,560,0,0,0,31,591
2-Mar-20,38424,45963,40122,17017,2278,143804,502,0,0,0,47,549
22-Jul-19,52058,46486,36766,21579,2619,159508,952,39,281,0,198,1470
16-Dec-19,41300,44002,33994,16918,2203,138417,573,0,0,0,29,602
2-Nov-19,42845,42327,34965,19510,2442,142089,538,190,0,0,70,798
14-Jun-19,59878,46115,41428,20586,2782,170789,860,0,0,0,139,999
20-Jan-20,43761,45143,35787,17544,2350,144585,541,0,0,0,52,593
2-Aug-19,55338,42294,39684,21905,2739,161960,1381,33,100,0,148,1662
19-Jun-19,54143,47446,44039,20715,2796,169139,487,0,0,0,126,613
29-Sep-19,45156,42812,36728,17621,2586,144903,455,0,0,0,235,690
12-Nov-19,42187,46333,38445,17856,2318,147139,442,0,0,0,56,498
6-Dec-19,44633,48497,36745,17909,2374,150158,575,0,0,0,60,635
24-Sep-19,54472,45713,39160,21819,2508,163672,1780,0,0,0,277,2057
12-Mar-2020,34899,45894,44839,16110,2363,144105,637,0,0,0,41,678
26-Apr-19,50958,51370,44505,22527,2733,172093,532,30,0,0,56,618
23-Jan-20,47466,47951,40671,19092,2422,157602,623,0,0,0,27,650
3-May-19,44491,50055,42719,20980,2493,160738,531,0,0,0,153,684
17-Jun-19,53200,44836,40011,19933,2540,160520,886,0,0,0,204,1090
1-Aug-19,56464,41534,40565,21837,2744,163144,1333,0,0,0,180,1513
27-Sep-19,52138,43510,37759,19217,2691,155315,1470,0,0,150,125,1745
8-Dec-19,44580,47660,36547,17794,2315,148896,640,0,82,0,34,756
25-Apr-19,47698,50853,43941,21899,2638,167029,605,0,0,200,117,922
31-Jul-19,55000,42505,40041,21489,2702,161737,1918,0,0,100,192,2210
11-Mar-2020,30215,37065,42618,14586,2188,126672,568,0,0,0,79,647
11-Nov-19,40302,43114,34692,17601,2184,137893,481,0,0,0,97,578
5-Dec-19,44302,48022,36574,18018,2394,149310,540,40,0,0,47,627
28-Apr-19,50974,51831,43411,21820,2549,170585,548,30,20,0,199,797
11-Aug-19,55284,41838,37935,22288,2859,160204,1588,0,0,0,163,1751
27-Feb-20,45004,49481,44973,15896,2184,157538,610,0,0,0,183,793
7-Jun-19,49963,51005,38749,20334,2745,162796,517,0,20,0,72,609
13-May-19,49553,47123,40886,20621,2187,160370,574,0,50,0,337,961
27-Oct-19,43142,40066,33691,18285,2275,137459,529,0,0,0,173,702
15-Dec-19,43050,46982,36731,17903,2219,146885,856,0,0,0,24,880
1-Nov-19,42134,41012,34052,18983,2485,138666,505,0,0,74,40,619
21-Jul-19,53529,49386,39760,21595,2795,167065,1383,0,0,0,196,1579
1-Mar-20,39379,49770,43905,17579,2389,153022,501,0,0,0,28,529
18-Dec-19,45701,47350,39222,17787,2268,152328,540,0,0,0,38,578
25-Dec-19,48501,48324,39385,18234,2436,156880,539,0,0,0,21,560
8-Apr-19,40928,47212,41607,18793,2195,150735,489,0,248,0,193,930
28-Dec-19,50716,47726,39097,17393,2385,157317,705,0,0,0,31,736
7-Sep-19,58936,44234,40437,22336,2884,168827,2466,0,0,0,160,2626
5-Apr-19,47209,50199,46189,22617,2305,168519,855,0,-83,0,234,1007
11-Jul-19,55433,46061,39725,18418,2549,162186,1013,0,0,0,185,1198
3-Jan-20,47965,45671,40058,18227,2359,154280,706,0,0,0,24,730
26-Aug-19,51731,42448,35978,20628,2867,153652,541,0,0,0,99,640
17-Feb-20,44094,47805,40248,17798,2323,152268,611,0,0,0,34,645
21-Aug-19,52839,45767,39087,22041,2855,162589,1288,29,0,0,168,1485
17-Oct-19,49186,49364,38122,20234,2717,159623,628,0,0,0,93,721
21-Mar-20,41253,47497,44241,18653,2401,154045,598,0,0,0,69,667
15-Apr-19,46535,46848,42470,20432,2385,158670,538,0,0,0,99,637
17-Sep-19,58896,45195,39574,22771,2729,169165,2826,0,0,0,184,3010
18-Apr-19,38165,46542,43897,20402,2074,151080,479,0,0,0,391,870
7-Oct-19,44937,42784,36329,19212,2571,145833,452,0,0,0,28,480
31-Aug-19,59424,45898,41436,22866,2913,172537,2420,0,33,0,155,2608
1-Jul-19,59498,41420,36707,19793,2739,160157,1206,0,0,0,158,1364
27-Jun-19,60446,47082,40660,21073,2608,171869,842,0,0,0,251,1093
7-Feb-20,47595,48590,43633,18638,2458,160914,543,0,0,0,48,591
13-Jan-20,45280,46041,37054,17673,2358,148406,576,0,0,0,40,616
27-Aug-19,57180,44853,39917,21625,2930,166505,1054,0,50,0,137,1241
5-Jan-20,48126,46045,39977,17714,2367,154229,609,0,0,0,26,635
11-Feb-20,48741,48880,42783,18321,2410,161135,644,0,0,0,30,674
25-May-19,52009,51156,43082,21496,2263,170006,1048,0,25,0,126,1199
15-Jul-19,51006,45905,37939,20151,2278,157279,433,0,0,0,219,652
