date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
16-Aug-17,49937,36855,34333,17565,2364,141054,1626,19,28,0,110,1783
19-May-17,48772,46293,35948,17815,2389,151217,2493,69,0,0,78,2639
20-Oct-17,43548,38017,33495,19852,2613,137526,559,0,0,0,53,612
23-Dec-17,44053,46275,38410,17029,2415,148182,821,11,99,100,48,1079
12-Dec-17,39121,45353,37347,17722,2327,141870,697,11,0,0,94,802
9-Jan-18,44371,45116,39406,17512,2387,148792,601,11,0,0,48,660
30-Sep-17,48721,45430,33343,18421,2255,148170,1653,0,0,0,161,1814
26-Jul-17,51255,38509,40146,17581,2426,149917,789,124,0,4,144,1060
10-Feb-18,43945,43646,40891,18660,2371,149514,783,64,0,300,52,1198
30-Oct-17,40767,44345,35620,18260,2346,141337,1051,0,0,130,64,1245
9-May-17,47964,44021,36912,19107,2423,150427,1008,43,0,100,59,1210
6-Aug-17,50976,42519,37433,18677,2498,152103,2146,130,0,0,169,2446
10-Jun-17,46995,41232,35493,18072,2469,144261,693,30,0,300,178,1200
4-May-17,45349,46132,38232,18806,2254,150773,3569,149,0,0,239,3958
14-Jan-18,43641,45115,39275,18472,2383,148887,550,11,0,0,37,599
22-Apr-17,48711,47774,37933,19786,2129,156333,37,105,0,200,114,456
20-Sep-17,52467,43913,37101,19359,2490,155330,1761,11,0,351,195,2318
19-Jan-18,44402,46102,39620,18350,2347,150821,551,34,0,0,29,614
2-Dec-17,40847,45397,35727,16941,2320,141231,631,197,0,100,67,995
16-Nov-17,40273,46781,38898,17133,2339,145424,545,12,75,732,69,1432
10-Sep-17,53059,43998,36972,19601,2449,156079,2231,279,281,650,232,3672
12-Apr-17,42992,47632,38928,19630,2308,151489,487,72,46,35,79,719
24-Jan-18,39444,45345,40865,18211,2414,146279,555,0,0,0,46,601
6-Jul-17,49408,39308,37313,18921,2344,147294,297,459,0,0,152,908
29-Jan-18,41205,42642,36933,17799,2347,140926,529,0,0,0,36,565
20-Jun-17,46929,43702,35754,16702,2510,145597,858,95,0,200,128,1281
22-Dec-17,44490,46160,37794,17284,2409,148137,615,11,0,0,63,690
20-Feb-18,41324,43741,42829,18195,2373,148463,521,32,0,250,25,828
16-Jul-17,51321,38417,35178,19258,2480,146654,1036,70,0,200,116,1422
2-Apr-17,39991,46566,38975,19105,1920,146557,639,94,94,0,264,1091
26-Nov-17,40782,46768,38196,17038,2265,145050,521,0,0,0,69,590
30-Jun-17,41840,38522,37007,18880,2535,138784,466,98,0,0,140,704
6-Mar-18,40321,45509,43412,18928,2333,150502,488,67,116,0,52,723
24-May-17,46539,46103,37033,17068,2517,149260,1298,88,73,0,56,1516
1-Nov-17,41158,46046,37673,18035,2354,145266,1978,0,0,470,126,2574
10-Oct-17,48905,46274,38461,18349,2578,154567,2474,75,0,0,131,2680
29-May-17,46610,40537,34116,16852,2452,140568,741,48,27,0,117,932
15-Jul-17,52475,38683,36124,18593,2492,148367,990,64,0,300,133,1487
23-Feb-18,41551,45048,43567,18540,2356,151062,521,22,0,0,54,597
1-Apr-17,41915,47202,39848,19652,2217,150835,478,98,0,150,146,872
3-Sep-17,45510,41037,36059,18331,2477,143413,916,652,0,206,149,1923
18-Jul-17,51606,38646,35890,19994,2467,148603,1625,79,0,9,144,1857
21-Dec-17,44446,45872,38756,16995,2396,148465,987,11,0,0,56,1054
6-Nov-17,39269,44518,34104,17641,2288,137821,1256,0,169,225,85,1735
13-Oct-17,47168,46666,36872,20356,2637,153699,2397,78,0,994,154,3623
28-Aug-17,50594,39858,33781,18668,2597,145497,731,0,0,545,112,1387
8-Mar-18,41196,45963,43790,19752,2311,153012,711,57,50,0,102,920
25-Aug-17,52816,42338,36614,19774,2484,154026,2158,42,0,0,207,2407
31-Aug-17,50116,39572,37663,19992,2596,149938,1776,10,0,0,133,1919
31-Dec-17,44296,45241,39526,17044,2385,148492,892,33,0,50,57,1032
8-Jul-17,51143,40148,36753,18957,2392,149393,463,61,0,0,205,729
28-Nov-17,39820,45898,37766,17985,2246,143715,1347,11,0,0,79,1437
13-Sep-17,53208,44843,38425,19796,2296,158568,2420,708,0,300,390,3818
27-Jan-18,38961,39628,37782,17547,2256,136174,553,58,0,0,29,640
11-Apr-17,41217,47730,39215,19859,2240,150261,1011,120,0,250,138,1519
5-Jul-17,49455,38798,37197,17593,2339,145382,779,88,0,0,182,1049
23-Jun-17,48390,41788,37544,18501,2456,148679,959,40,0,5,112,1116
15-Mar-18,40233,45768,44605,20511,2382,153499,1281,46,99,57,83,1566
