date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
7-Aug-13,37341,32441,29164,15765,1868,116579,1860,143,1502,22,277,3804
11-Jun-13,38474,33530,29379,14647,1829,117859,2126,198,3213,500,257,6294
5-May-13,35515,38457,30451,14379,1560,120362,1320,614,5042,319,366,7661
20-Mar-14,31978,37306,34167,15961,1648,121060,1737,807,3217,0,373,6134
31-Oct-13,33011,38395,30344,15144,1863,118757,2175,732,2511,0,162,5580
8-May-13,35637,38653,31505,14906,1539,122240,2682,764,4931,420,349,9146
3-Dec-13,34550,39349,29635,14302,1809,119645,2161,693,2717,500,179,6250
18-Mar-14,30070,32079,32715,14412,1795,111071,500,114,1907,130,183,2834
17-Nov-13,33414,37964,28870,14330,1836,116414,1605,512,1659,304,168,4248
12-Jan-14,37275,36899,32409,15154,1917,123654,1480,270,2139,308,181,4378
6-Feb-14,35622,38033,32505,14218,1669,122046,1651,471,2996,385,400,5903
23-Apr-13,33010,35887,30034,14125,1625,114681,1620,938,5243,470,266,8537
18-May-13,37801,36206,30997,12966,1752,119722,1525,644,5217,600,209,8195
21-Oct-13,33108,35626,29322,14712,1859,114627,2415,297,939,307,273,4231
15-May-13,33972,37225,31174,14147,1634,118152,1559,757,3363,550,261,6490
1-Jun-13,37260,37033,28504,12888,1776,117461,1434,245,3223,800,216,5918
30-Mar-14,31403,39999,34201,15806,1992,123401,2045,473,4076,32,126,6752
17-Aug-13,35002,32751,29522,15568,1878,114721,1930,370,1260,250,260,4070
16-Feb-14,35404,36017,33097,14247,1881,120646,1492,173,1795,0,160,3620
2-Jan-13,35136,36914,31623,14794,1761,120228,1195,156,1233,300,293,3177
27-Jul-13,40477,32065,28272,15002,1705,117521,2718,141,1756,412,421,5448
7-Nov-13,32573,34792,30871,14819,1939,114994,1423,340,1217,800,96,3876
13-Dec-13,36091,37277,30436,14572,1788,120164,1940,479,1220,122,244,4005
17-Jul-13,40936,31908,28261,15737,1899,118741,2647,262,2169,5,246,5329
3-Apr-13,29845,36496,30407,14061,1594,112403,2010,969,5792,601,331,9703
26-Feb-14,35470,35802,33928,15353,1778,122331,2221,141,2228,0,259,4849
1-Sep-13,39405,35661,31262,15134,1889,123351,2938,1047,1548,200,291,6024
23-Dec-13,33511,36279,29672,14418,1752,115632,980,329,1288,138,249,2984
11-Oct-13,38385,35564,31086,16202,1996,123232,2769,107,1546,78,195,4695
28-May-13,37053,36909,28839,14694,1640,119135,405,134,3313,167,364,4383
27-Aug-13,40138,33598,32926,15461,1760,123883,2604,720,855,575,336,5090
25-May-13,38114,38016,31514,14076,1730,123450,2371,184,3115,663,273,6606
27-Nov-13,33980,38304,29589,14849,1797,118519,2566,766,3269,200,221,7022
11-Sep-13,40368,38423,30333,15538,1869,126531,3802,551,593,13,331,5290
13-Apr-13,33923,38796,31115,14970,1539,120343,4087,648,6172,669,412,11988
7-Jul-13,40183,33429,28970,14679,1867,119128,2660,182,2107,500,243,5692
22-Jan-14,34771,36625,32519,14749,1791,120455,2327,632,1708,0,253,4920
10-Mar-14,31969,34269,30675,15132,1702,113747,1375,135,1505,263,292,3570
21-Jun-13,37826,32718,29223,14395,1829,115991,1012,864,2796,100,256,5028
1-Oct-13,37758,34830,32501,14665,1914,121668,2425,541,803,0,259,4028
29-Nov-13,33819,38533,29331,14149,1874,117706,2701,620,3032,250,134,6737
12-Sep-13,41980,38495,30328,15632,1816,128251,2915,240,652,411,369,4587
21-Jan-14,36273,37489,32774,14971,1772,123279,2303,760,1905,330,320,5618
10-Apr-13,31665,38095,31129,15028,1516,117433,4604,979,5629,705,405,12322
4-Jul-13,39350,33806,28260,15193,1844,118453,2520,324,2354,458,262,5918
24-Nov-13,33550,38425,28710,14597,1765,117047,2409,748,3230,550,216,7153
30-Dec-13,35329,37238,29670,14264,1843,118343,666,208,1329,0,178,2381
9-Jul-13,37768,33644,28900,15525,1809,117646,1595,370,3198,6,297,5466
2-Oct-13,36854,34587,32080,15369,1855,120745,2989,562,1259,29,272,5111
22-Jun-13,38740,33077,29506,15106,1806,118235,1640,442,2165,0,261,4508
13-Mar-14,31091,35727,33712,15502,1906,117938,2559,282,1696,0,169,4706
4-Aug-13,40295,31781,28734,15004,1761,117575,3374,272,1247,327,354,5574
19-Jul-13,41666,33098,27674,15516,1858,119812,2553,253,1253,315,291,4665
28-Feb-14,34347,32765,33444,15508,1811,117875,1541,77,2380,399,249,4646
20-Dec-13,36510,38451,30362,14334,1700,121357,2663,696,2283,830,362,6834
31-Jan-14,35787,37331,32959,14476,1747,122300,1146,453,2827,177,322,4925
25-Feb-14,35777,36428,33086,14896,1761,121948,1223,200,1803,100,269,3595
14-Jul-13,41062,31782,28168,15381,1906,118299,2825,148,1986,113,213,5285
2-Sep-13,39560,34189,29588,15469,1821,120627,3735,725,654,313,287,5714
24-Aug-13,36320,32853,31672,14761,1843,117449,2925,1146,690,759,315,5835
26-May-13,38628,37645,30641,14651,1733,123298,2100,209,3412,460,269,6450
3-Mar-14,31292,34431,30733,14605,1658,112719,2023,121,1243,0,336,3723
12-Oct-13,34003,35390,31705,15644,2013,118755,2487,83,1350,0,181,4101
16-May-13,35908,36816,31005,14702,1777,120208,1656,625,4083,604,220,7188
2-Jun-13,35972,35960,27662,13670,1788,115052,1792,424,4493,606,233,7548
15-Aug-13,38935,33138,29906,15898,1858,119735,2165,226,2010,525,250,5176
19-Aug-13,34264,31554,27773,14764,1832,110187,1400,336,634,467,246,3083
22-Oct-13,34203,36930,29768,14667,1857,117425,2405,453,1351,615,267,5091
4-Nov-13,34367,32875,26253,15007,1913,110415,220,72,1313,0,85,1690
10-Dec-13,35005,38654,29854,14206,1699,119418,3096,456,2406,600,320,6878
18-Feb-14,35509,36761,33374,14795,1921,122360,1822,394,2183,0,124,4523
29-Jul-13,38975,29820,26931,14987,1865,112578,2800,477,1543,650,164,5634
9-Nov-13,32899,36329,31173,14765,1916,117082,1755,282,2302,350,96,4785
30-Apr-13,35588,39033,30311,15738,1631,122301,1552,523,4932,478,260,7745
24-Jul-13,39861,32275,27451,16115,1765,117467,4223,363,2025,14,331,6956
15-Feb-14,35078,36512,34242,14576,1902,122310,1274,65,2511,0,192,4042
1-Jan-14,34776,38153,31623,14917,1861,121330,2425,97,1178,355,199,4254
9-Aug-13,37710,33001,30683,15352,1833,118579,2050,480,1633,200,305,4668
23-Mar-14,33978,38805,34990,15091,1914,124778,1747,179,2008,560,139,4633
12-Jun-13,35631,33714,29020,15065,1854,115284,1420,136,2546,18,233,4353
6-May-13,34250,36602,28160,13509,1470,113991,1760,267,4867,271,315,7480
20-Apr-13,32151,35483,30759,11350,1617,111360,3101,222,5354,400,356,9433
11-Jan-14,37178,37704,33288,15412,1888,125470,2209,215,2126,700,211,5461
5-Feb-14,35558,38562,32699,14176,1686,122681,1325,398,2227,368,397,4715
22-Sep-13,37210,35830,29240,15651,1976,119906,2320,104,488,618,221,3751
19-Nov-13,32984,35798,29108,14759,1716,114365,1760,408,2384,0,265,4817
8-Feb-14,36042,38783,32914,14473,1849,124061,1580,250,2185,0,225,4240
14-Nov-13,33595,37244,29914,13856,1878,116487,1895,561,3244,5,145,5850
2-Nov-13,35285,38037,29905,14979,1920,120126,1355,107,1089,250,84,2885
16-Dec-13,34705,35568,29127,13895,1730,115025,2080,401,450,4,227,3162
13-Feb-14,36655,38929,33391,15377,1837,126189,1796,137,2394,329,255,4911
7-Jan-13,36984,38515,32793,14518,1865,124675,2593,541,1683,360,220,5397
