date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
31-Oct-14,36536,39930,31081,16315,2023,125885,1860,749,1665,10,136,4420
3-Oct-14,41818,41882,29772,15747,2079,131298,1905,109,1181,419,171,3785
25-Feb-15,37250,40550,34275,16184,1993,130252,2178,391,1408,500,157,4634
8-May-14,39461,40146,30134,15016,1638,126395,1650,180,2268,200,468,4766
31-Jan-15,37936,37822,33776,15173,2098,126805,1525,245,1424,184,178,3556
7-Aug-14,41988,34937,32502,15140,1811,126378,3601,493,890,650,507,6141
5-May-14,35685,38319,30632,13378,1760,119774,1810,116,1757,252,194,4129
11-Jun-14,42658,40334,30495,15699,1897,131083,1960,1059,3430,600,351,7400
28-Feb-15,36903,39031,33978,15557,2069,127538,1480,185,1894,286,151,3996
23-Apr-14,33947,40382,34344,16979,1967,127619,2440,202,3066,55,233,5996
21-Sep-14,42553,39366,32714,15834,2021,132488,4451,246,995,350,259,6301
3-Mar-15,30758,35576,33649,14455,2054,116492,1197,250,1267,110,165,2989
17-Nov-14,35958,39912,29102,15098,1897,121967,1285,82,900,488,69,2824
3-Dec-14,36812,41671,31196,14791,2091,126561,2145,226,2002,-555,110,3928
1-Jun-14,38417,39224,31912,14268,1820,125641,380,979,2470,340,388,4557
15-May-14,33977,38807,31935,15015,1891,121625,2013,416,2443,0,335,5207
21-Jan-15,38340,39249,33147,14893,2072,127701,2224,259,1466,500,228,4677
18-May-14,36346,38540,32452,16232,1952,125522,3251,710,2766,466,270,7463
21-Oct-14,36195,42705,30219,16694,1925,127738,2037,106,2943,0,327,5413
13-Dec-14,39370,38420,31269,15230,2134,126423,2016,87,1507,650,109,4369
12-Mar-15,34079,38958,34268,16399,2023,125727,880,212,932,448,239,2711
7-Nov-14,35481,41992,31547,15510,2041,126571,1565,341,2071,137,148,4262
13-Mar-15,34358,38053,34577,17026,2023,126037,1016,131,1200,498,239,3084
27-Jul-14,43404,34751,31608,15973,1848,127584,3250,523,1650,315,473,6211
23-Mar-15,31630,38080,33172,16317,2086,121285,1743,127,1317,166,149,3502
23-Dec-14,40213,40261,31483,15981,2090,130028,2833,522,1288,430,178,5251
3-Apr-14,33998,40210,35661,15893,1808,127570,2000,203,3027,269,268,5767
17-Jul-14,44359,36751,31283,16089,1933,130415,4533,438,1050,200,348,6569
1-Sep-14,42195,35734,29489,14716,1832,123966,3008,166,625,649,369,4817
27-Aug-14,46332,39023,31318,15494,1759,133925,4467,1279,960,580,540,7826
8-Feb-15,36608,39272,33763,14417,2144,126204,2164,355,2431,325,147,5422
25-May-14,36790,39132,31792,15904,1658,125277,1470,1295,1920,237,564,5486
11-Oct-14,39923,43285,31885,16629,2034,133756,3606,265,1825,740,260,6696
28-May-14,38130,39678,30875,14249,1785,124717,2064,192,2136,220,436,5048
5-Feb-15,37189,39167,33990,15351,2083,127780,1786,205,1389,451,180,4011
11-Jan-15,39677,38941,32927,15182,2157,128884,1783,101,1384,501,108,3877
11-Sep-14,38097,35912,33998,16080,1969,126055,3520,142,645,700,338,5345
7-Jul-14,41936,37622,30697,14885,1798,126938,2210,228,950,0,381,3769
13-Apr-14,34906,38876,33097,15381,1821,124081,2317,389,3363,276,327,6672
1-Jan-15,39532,37529,32621,14719,2055,126456,2421,252,1983,0,240,4896
15-Feb-15,37758,38676,34126,14972,2049,127581,1688,234,1833,300,198,4253
1-Oct-14,42392,42343,30627,16272,2050,133684,3584,752,4443,300,213,9292
13-Dec-14,39370,38420,31269,15230,2134,126423,2016,87,1507,650,109,4369
18-Feb-15,37058,38560,33916,15209,2091,126834,1638,208,1314,0,139,3299
21-Jun-14,44693,38045,31933,14987,1985,131643,1570,265,1410,744,256,4245
30-Dec-14,39917,40379,31590,14878,2063,128827,1799,225,1390,615,182,4211
24-Nov-14,35736,40061,29761,15005,2017,122580,1451,133,1794,380,100,3858
9-Jul-14,45130,38577,32219,14989,1877,132792,2511,1064,1400,435,400,5810
30-Mar-15,29763,36797,33351,16426,1965,118302,918,258,1893,0,189,3258
29-Nov-14,38984,40434,30755,15464,2068,127705,1704,141,2975,457,154,5431
12-Sep-14,38471,36296,33932,16392,1997,127088,3270,307,475,765,340,5157
4-Jul-14,42413,39298,33319,15642,1783,132455,2187,1067,2100,100,427,5881
10-Apr-14,35370,38484,33891,16083,1825,125653,2441,96,1810,312,257,4916
22-Jun-14,40860,38216,31705,14692,1916,127389,1739,141,1625,112,339,3956
1-Feb-15,38079,38182,33382,15331,2113,127088,1671,210,1262,177,142,3462
2-Jan-15,38472,35235,30810,14507,2140,121164,1546,113,1616,0,79,3354
16-Feb-15,36318,37050,31679,14549,2029,121625,1342,104,1114,300,103,2963
2-Oct-14,41713,42122,29676,15768,2129,131408,4307,787,4193,375,163,9825
14-Jul-14,43142,36578,28553,15261,1901,125435,2650,328,300,300,294,3872
2-Sep-14,42842,36048,30590,14623,1942,126045,1885,200,670,1166,350,4271
19-Jul-14,40759,35407,32384,16383,1853,126786,2100,363,1800,250,407,4920
20-Mar-15,32807,39108,35113,17463,2105,126597,2175,165,1442,150,174,4106
9-Apr-14,35277,39206,34516,15307,1780,126086,2065,111,3043,576,300,6095
20-Dec-14,38725,39267,31892,15006,2085,126975,2714,259,1592,795,173,5533
22-Feb-15,36379,39729,34433,14939,1923,127403,1633,274,1919,325,235,4386
12-Oct-14,39609,43628,31971,16169,2034,133411,2330,163,2329,536,249,5607
29-Aug-14,45637,38070,31247,14733,1756,131443,4677,979,970,1931,495,9052
6-Feb-15,37900,39263,34179,14869,2066,128277,2469,230,1223,150,219,4291
12-Jan-15,38926,37198,30970,15199,2154,124447,1319,84,1326,350,103,3182
24-Aug-14,46088,39478,31768,15083,1713,134130,4099,388,1975,1436,587,8485
25-Sep-14,43479,42251,32585,15988,1907,136210,3791,427,2977,743,299,8237
26-May-14,33589,37288,27729,14031,1638,114275,1160,200,2886,464,421,5131
22-Jan-15,39377,38844,33008,14895,2083,128207,1700,247,1481,720,200,4348
19-Aug-14,43582,34969,32387,15518,1998,128454,2268,1952,2953,0,299,7472
22-Oct-14,38958,42457,29790,17070,2013,130288,575,120,3634,0,224,4553
16-May-14,35014,40124,32880,15711,1816,125545,2985,363,1982,216,418,5964
14-Aug-14,42419,37591,33554,15272,1939,130775,3828,336,1580,800,347,6891
9-Nov-14,37110,41024,31697,15662,2034,127526,1700,101,2737,460,156,5154
24-Jul-14,42281,34522,31241,15781,1899,125724,4887,635,1050,857,373,7802
30-Apr-14,38149,40981,33153,15847,1585,129715,2495,142,2700,251,477,6065
10-Dec-14,38839,41770,33343,15273,2094,131319,2490,216,1319,549,116,4690
4-Nov-14,36609,40008,30590,15775,2029,125011,1810,784,1250,517,206,4567
10-Mar-15,32028,38801,33360,16427,2052,122668,1512,167,1562,359,164,3764
29-Jul-14,41880,35024,31839,16496,1955,127194,2775,716,1103,400,323,5317
31-Jul-14,43319,35172,31499,16633,1936,128559,2855,524,1280,417,356,5432
4-Aug-14,42099,33862,29639,15877,1986,123463,2140,362,1875,13,304,4694
6-May-14,37534,38840,31126,14660,1885,124045,1800,805,1670,602,187,5064
12-Jun-14,41213,38169,32717,13536,1922,127557,1593,970,2000,988,338,5889
9-Aug-14,41310,36077,31394,16380,1982,127143,4016,444,690,771,349,6270
26-Feb-15,35550,40316,34693,15910,2116,128585,1357,191,1966,360,150,4024
14-Nov-14,36806,42746,30288,15951,1972,127763,1356,159,2045,300,209,4069
20-Apr-14,33491,39717,33049,16353,1797,124407,1905,345,2016,0,348,4614
22-Sep-14,43785,38610,31197,15100,1959,130651,2507,248,1000,426,203,4384
19-Nov-14,37468,40476,31610,15002,2012,126568,1761,89,1528,500,152,4030
11-Dec-14,38843,41684,32073,15021,2102,129723,2472,335,1454,633,79,4973
22-Jul-14,43874,35484,32371,15345,1812,128886,3600,459,1865,400,407,6731
27-Nov-14,39042,40303,30723,15096,2098,127262,1310,83,2952,560,131,5036
16-Mar-15,29045,34154,31797,15766,2050,112812,584,120,1118,0,133,1955
16-Dec-14,36840,39050,32175,15006,2080,125151,1443,284,1068,250,134,3179
2-Nov-14,37086,39082,30268,15651,2040,124127,1815,708,1300,433,178,4434
24-Oct-14,36819,36423,27091,16732,2078,119143,368,87,2076,10,175,2716
24-Jan-15,37990,38553,33407,15193,2106,127249,1561,554,1313,286,134,3848
9-Jun-14,40447,38973,29709,14774,1962,125865,1790,296,1500,107,252,3945
12-Aug-14,41814,36290,32400,16053,1979,128536,2925,756,1350,413,315,5759
29-Oct-14,36321,39325,30552,16182,1947,124327,1815,754,2034,0,297,4900
4-Jun-14,38188,38798,29623,16550,1819,124978,2565,1708,4785,1023,354,10435
10-May-14,37662,40648,29948,15032,1700,124990,2312,293,1331,400,307,4643
29-Jan-15,37711,37881,33341,14515,2124,125572,2139,329,1348,0,149,3965
29-Sep-14,41374,42150,30335,16074,1999,131932,-385,629,1879,426,177,2726
12-Nov-14,37268,40929,32370,15505,1998,128070,1926,694,2732,609,180,6141
6-Dec-14,37404,40823,32146,14504,1951,126828,2006,208,1780,839,234,5067
6-Mar-15,33090,35551,33766,15157,2051,119615,1448,190,1799,70,123,3630
24-Sep-14,43607,41695,32739,15841,1702,135584,4096,1013,2525,1031,264,8929
26-Apr-14,36446,39750,34327,16314,1781,128618,3436,450,3173,156,328,7543
7-Sep-14,35152,36223,30670,15476,1952,119473,3654,342,575,831,284,5686
14-Jun-14,38171,38375,31897,15914,1862,126219,1550,473,2660,250,372,5305
2-Aug-14,40278,34444,32373,16068,1904,125067,4540,768,1200,336,393,7237
20-Feb-15,37213,40529,34640,14594,2111,129087,1044,294,1988,515,109,3950
19-Jun-14,42448,38738,31888,15057,1904,130035,1948,623,1900,518,385,5374
9-Oct-14,38499,41881,32852,16962,2039,132233,3160,1075,1988,410,236,6869
15-Aug-14,43110,37665,32474,16008,1878,131135,3451,717,1470,1000,327,6965
9-Jan-15,39376,38471,33428,14525,2113,127913,2157,444,1511,121,138,4371
24-Jun-14,41440,39312,32100,15781,1791,130424,1420,381,2250,200,372,4623
30-May-14,39598,39782,31297,16163,1777,128617,2205,1148,2760,0,419,6532
4-Oct-14,42556,39779,29746,15393,2012,129486,0,91,2452,500,189,3232
29-Jun-14,42641,39257,32653,16088,1943,132582,1550,909,1825,577,348,5209
4-Jan-15,38886,37181,32205,14223,2086,124581,1911,132,2186,461,93,4783
10-Feb-15,36891,38332,34576,15499,2088,127386,2188,265,1383,0,174,4010
22-Nov-14,37831,40831,31598,15116,1978,127354,1290,86,1691,0,210,3277
19-Sep-14,43080,39416,32217,16681,1935,133329,3937,428,1600,180,425,6570
2-Jul-14,43560,40462,33157,14721,1970,133870,2015,603,2350,100,303,5371
16-Apr-14,35631,40341,32987,15802,1873,126634,2247,442,2590,51,176,5506
14-Sep-14,39382,37065,34239,15800,2098,128584,3430,169,500,550,260,4909
14-Jan-15,39716,38874,32858,15117,2141,128706,2314,140,1225,613,164,4456
14-Oct-14,38064,40001,32169,15820,2109,128163,1835,112,4761,682,183,7573
2-Jun-14,35956,38103,30991,14635,1916,121601,1875,759,730,400,216,3980
19-Jan-15,36792,38238,29709,15157,2021,121917,1939,249,1322,230,108,3848
20-May-14,35777,38875,30536,15926,1858,122972,2649,902,2583,281,356,6771
19-Oct-14,35031,42321,30374,16111,1868,125705,3306,136,3202,692,314,7650
22-Aug-14,46211,36810,32611,15705,1889,133226,3215,2284,1600,620,386,8105
4-Sep-14,38909,36607,31181,15222,1879,123798,3386,275,1280,500,380,5821
6-Apr-14,35275,39616,33789,15778,1859,126317,2641,195,4175,205,257,7473
12-Jul-14,46327,37474,30588,15563,1930,131882,2855,412,400,106,351,4124
26-Dec-14,39850,39759,30586,15338,2031,127564,3050,401,2620,213,221,6505
9-Sep-14,37288,32719,31120,15491,1962,118580,3521,530,400,1016,344,5811
26-Mar-15,35945,42013,36072,17790,1941,133761,2393,378,1344,441,294,4850
23-May-14,38508,40663,32529,16095,1780,129575,2590,1109,1958,0,469,6126
21-Aug-14,44169,36407,32572,15210,1692,130050,2406,2467,3451,681,558,9563
3-Feb-15,37367,39334,33415,15330,2114,127560,1800,162,1288,0,127,3377
17-Jan-15,39023,38688,29963,15400,2038,125112,2153,536,1273,208,230,4400
17-Oct-14,35426,42550,31875,15347,2018,127216,2975,888,4540,629,283,9315
25-Dec-14,39574,40331,32265,15578,2156,129904,3405,176,1835,220,96,5732
8-Apr-14,33590,41004,34552,15811,1885,126842,1899,359,2765,931,222,6176
