date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
19-Jul-15,41981,39714,33219,15854,2151,132919,2541,304,300,500,235,3880
2-Sep-15,48406,43155,34107,17587,2028,145283,2241,342,1275,150,374,4382
17-Feb-16,38154,41610,35351,16268,2249,133632,1114,132,450,200,114,2010
3-Jan-16,38926,42764,30985,16702,2224,131601,2115,195,400,0,98,2808
31-Mar-16,35686,42775,37371,16965,2356,135153,1733,107,525,273,85,2723
26-May-15,41881,42598,35550,15742,2057,137828,1495,512,1424,100,262,3793
24-Aug-15,42467,39827,31454,16991,2169,132908,1781,234,450,226,158,2849
12-Oct-15,42811,43450,32473,17946,2137,138817,1484,558,1000,0,154,3196
29-Aug-15,49303,41827,32243,17668,2227,143268,1976,173,1000,200,215,3564
13-Jan-16,40854,42867,34301,16659,2298,136980,1176,155,500,0,94,1925
7-Feb-16,38192,41041,34892,16471,2239,132835,1996,101,450,311,89,2947
29-Nov-15,37646,42049,31340,17086,2213,130334,1844,117,1000,172,60,3193
12-Sep-15,50354,45040,32862,17255,2144,147655,2398,317,1635,876,251,5477
9-Jul-15,44432,40666,35769,16553,2099,139519,2458,247,583,250,233,3771
21-Jul-15,41851,40180,33583,16906,2132,134652,2743,234,300,0,177,3454
24-Nov-15,37812,42959,30942,16042,2242,129997,1597,107,900,202,84,2890
30-Dec-15,39415,41832,32307,16560,2278,132392,1867,578,500,292,48,3285
2-Oct-15,44549,44329,33491,17639,2187,142195,1669,185,1000,671,254,3779
2-Jan-16,38928,40880,30369,16562,2163,128902,1669,131,400,295,100,2595
22-Jun-15,42931,34646,28289,15113,2035,123014,2146,262,370,0,203,2981
21-Mar-16,32849,39546,34973,17524,2138,127030,800,126,400,200,105,1631
9-Aug-15,43946,39692,35013,16723,2167,137541,2723,474,300,270,241,4008
5-Jul-15,48166,39674,35054,17371,2183,142448,2906,228,425,0,230,3789
12-Jun-15,42736,40128,32589,14841,1891,132185,1853,219,350,0,266,2688
6-May-15,39668,41374,33817,15967,1794,132620,2914,373,1459,900,457,6103
11-Mar-16,36012,42865,36355,17779,2252,135263,1287,305,835,687,91,3205
4-Aug-15,43984,36599,33599,16648,2113,132943,2244,800,706,625,226,4601
22-Sep-15,43338,38428,34293,16574,2127,134760,1871,414,1000,0,302,3587
19-Nov-15,37838,42236,31491,16478,2261,130304,364,159,1024,200,65,1812
23-Jan-16,42109,40263,32856,16185,2273,133686,2015,177,600,547,88,3427
20-Apr-15,34908,37735,30803,16431,1969,121846,2715,139,1298,200,185,4537
14-Nov-15,38169,37254,30556,16807,2243,125029,553,177,1224,150,85,2189
14-Aug-15,44607,39315,33092,17718,2128,136860,3005,455,1876,0,282,5618
1-Mar-16,37803,40810,36382,17548,2204,134747,1263,120,500,125,89,2097
16-May-15,39959,40842,31317,15370,1946,129434,1766,169,1348,482,275,4040
2-Jun-15,36922,41237,32488,16525,2038,129209,3452,176,1143,0,229,5000
22-Oct-15,42553,45957,34007,17168,2187,141873,1353,267,1500,150,159,3429
7-Mar-16,33143,39680,33896,17398,2214,126331,1088,140,400,95,80,1803
29-Jul-15,43574,34218,34391,16146,2003,130332,2127,563,313,0,302,3305
