date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
30-Sep-16,46826,43888,36382,18145,2333,147574,2115,91,0,0,289,2495
26-Jul-16,47321,38993,35045,18312,2191,141862,2229,62,0,0,258,2549
28-Nov-16,37091,42938,34494,16240,2176,132939,879,0,0,0,56,935
31-Mar-17,41418,46958,39712,18661,2176,148925,892,47,0,0,156,1095
31-Dec-16,41422,42683,35765,16572,2268,138710,893,53,350,300,37,1633
25-Nov-16,39506,44765,37502,16367,2305,140445,445,0,13,0,60,518
19-May-16,46639,44546,30939,17775,2072,141971,521,80,0,200,220,1021
3-Jan-17,42018,42803,36558,16788,2228,140395,910,11,0,0,55,976
14-May-16,42726,43619,37374,17459,1944,143122,520,97,300,200,356,1473
16-Aug-16,43876,34860,34429,16373,2408,131946,447,51,0,0,60,558
15-Jun-16,45685,42989,35946,17319,2281,144220,896,320,0,264,156,1636
21-Dec-16,42125,43644,35440,16002,2247,139458,437,0,0,200,35,672
21-Mar-17,37193,44685,39360,17736,2011,140985,658,89,0,0,233,980
23-Mar-17,38944,45259,39560,17941,2232,143935,746,57,0,85,164,1052
22-Apr-16,41668,44799,38558,17573,1722,144321,2498,112,125,400,465,3600
20-Sep-16,50243,41607,37720,18595,2386,150551,1415,70,0,400,189,2074
17-Jan-17,43738,43523,35038,17318,2232,141850,716,11,0,200,16,943
6-Aug-16,48541,36833,35022,17766,2418,140581,2376,88,0,0,133,2597
4-May-16,43179,43841,36092,17469,2096,142677,506,82,125,0,188,901
7-Feb-17,40096,43698,37397,17356,2273,140820,624,66,0,275,42,1007
13-Jan-17,42347,43228,36990,17336,2210,142112,1770,48,0,0,39,1857
9-May-16,42199,39145,32363,17407,2167,133282,543,0,0,174,114,831
20-Jun-16,47265,38808,32284,17280,2274,137911,666,60,25,200,126,1077
