date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
24th Jun 2020,56929,40689,37302,20902,2767,158589,488,0,0,146,8,642
05th Aug 2020,61513,43400,34767,17281,2892,159853,0,0,0,0,7,7
02nd Sep 2020,58040,42270,37931,20920,2919,162080,340,0,0,0,9,349
29th Apr 2020,37150,38668,32150,14420,2078,124466,541,0,0,0,81,622
28th Feb 2021,47744,53792,45804,20035,2468,169843,900,0,0,162,41,1103
07th Jul 2020,54780,39444,35423,19801,2745,152193,495,0,0,0,11,506
08th Aug 2020,60337,42414,38628,21229,2812,165420,902,0,0,0,180,1082
01st Dec 2020,44776,50796,37594,16941,2421,152528,0,0,0,0,54,54
02nd Mar 2021,47753,54514,45552,20094,2499,170412,645,0,0,0,46,691
18th Nov 2020,42485,46633,36849,18208,2231,146406,650,0,0,0,165,815
24th Sep 2020,61406,44572,37977,20431,2585,166971,7,0,0,0,242,249
02ndOct 2020,55459,48484,38127,21449,2844,166363,57,0,0,0,96,153
21st Apr 2020,34761,36892,33392,15669,1995,122709,523,0,0,0,117,640
23rd Oct 2020,48315,50040,37540,21322,2619,159836,510,0,0,0,297,807
27th Jun 2020,56521,41917,37026,19563,2483,157510,452,0,0,0,347,799
18th Aug 2020,60870,40490,35704,21449,2725,161238,408,0,0,0,11,419
24thJan 2021,52356,53769,43381,19094,2551,171151,680,0,0,0,38,718
15th Aug 2020,57038,39629,36865,21699,2716,157947,0,0,0,0,251,251
04rd  Sep 2020,56535,44109,38086,22301,2978,164009,768,0,0,0,117,885
03rd Jun 2020,45272,33616,35499,19682,2398,136467,822,0,0,0,26,848
26thJul 2020,56621,42512,35176,21652,2729,158690,1219,0,0,0,135,1354
8th Nov 2020,45844,51355,39709,18448,2565,157921,314,0,0,0,57,371
28thJul 2020,59884,45341,37479,21692,2607,167003,939,0,0,0,169,1108
12th Mar 2021,47870,53832,46220,21768,2549,172239,810,0,0,0,53,863
16th Apr 2020,38909,36520,33769,16450,1093,126741,509,0,0,0,859,1368
5th Nov 2020,45040,50300,40839,18482,2558,157219,350,0,50,0,8,408
11th Dec 2020,47613,50841,38028,17489,2469,156440,500,0,0,60,47,607
03rd  Sep 2020,57628,42289,37062,21659,2896,161534,756,0,0,0,10,766
20th Nov 2020,43118,48866,38155,18345,2463,150947,418,0,0,0,9,427
15th Jul 2020,59265,42528,35654,21306,2658,161411,1005,0,0,0,185,1190
21st Dec 2020,49768,49013,35191,17425,2449,153846,550,0,0,0,22,572
22nd Mar 2021,45327,51465,42561,22402,2459,164214,646,0,0,0,215,861
19th Jul 2020,60087,43360,35796,22345,2695,164283,803,0,0,0,191,994
14th Jan 2021,50419,51872,38049,18762,2534,161636,680,0,0,0,25,705
8th Feb 2021,45967,50826,40554,19378,2372,159097,900,0,0,102,25,1027
13th Oct 2020,52178,49695,35230,22764,2967,162834,1210,0,0,0,12,1222
23rd Apr 2020,38651,37972,33629,15593,2008,127853,769,0,0,0,250,1019
27th May  2020,49385,44074,38044,18597,1640,151740,456,0,0,0,637,1093
25th Aug 2020,55895,39505,37990,21446,2929,157765,0,0,0,0,10,10
01st Apr 2021,41860,54745,48327,23213,2108,170253,1080,0,0,0,180,1260
31th Oct 2020,45610,49475,39985,19624,2759,157453,728,0,0,0,12,740
31st Dec 2020,54199,51692,40761,19076,2583,168311,550,0,0,0,24,574
