date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
02nd Jan 2022,51844,51892,37107,19013,2420,162276,250,0,0,308,0,558
16th Feb 2022,52340,57168,43008,20456,2637,175609,250,0,0,359,0,609
03rd Apr 2021,47876,54909,48941,23153,2556,177435,400,0,0,0,67,467
17th July 2021,66521,50566,37752,24090,2895,181824,702,0,0,0,0,702
19th Feb 2022,51329,56166,44418,20178,2630,174721,250,0,0,345,0,595
23rd Dec 2021,55027,56748,40764,19513,2523,174575,889,0,0,335,0,1224
11th Oct 2021,50313,50709,36868,22392,3111,163393,1950,323,0,441,0,2714
30th May  2021,48148,46941,36654,19803,2961,154507,325,0,0,0,4,329
25th May  2021,44869,47698,36139,21840,2645,153191,340,0,0,0,4,344
01st July 2021,67614,49426,43711,21891,2664,185306,2995,0,0,0,4,2999
12th July 2021,60904,46922,34061,22755,2907,167549,200,0,0,0,6,206
27th Nov 2021,46613,56326,37680,18453,2509,161581,2052,0,0,331,0,2383
09th Feb 2022,53310,57376,44288,20105,2676,177755,250,0,0,268,0,518
11th Sep 2021,56205,45621,38729,24145,3075,167775,200,0,0,139,3,342
07th July 2021,66813,53072,41542,22119,2905,186451,1553,0,0,190,2,1745
13th Apr 2021,50701,52808,45056,22569,2722,173856,350,0,0,0,55,405
06th Feb 2022,53559,56329,43622,19222,2269,175001,250,0,0,567,0,817
12th Jan 2022,51021,51456,42986,18205,2602,166270,450,0,0,177,0,627
24th March  2022,52342,59367,47784,23651,2996,186140,822,0,0,740,0,1562
21st June  2021,53467,42483,37722,18528,2747,154947,200,0,0,0,1,201
07th August  2021,60700,51079,42875,22400,2759,179813,1984,0,40,0,2,2026
14th March  2022,48170,56032,42390,21275,2619,170486,350,9,0,294,0,653
5th May  2021,47464,49511,41486,18876,2437,159774,350,0,0,0,4,354
11th June  2021,55042,46234,37285,21907,2833,163301,740,0,0,0,8,748
31st Oct 2021,45855,52670,40928,20763,2770,162986,281,0,0,0,0,281
10th May  2021,42745,45730,38988,18556,2357,148376,430,0,0,0,5,435
17th Nov 2021,46934,55208,38409,18732,2501,161784,200,0,0,104,0,304
3rd Dec 2021,46776,49886,38666,17849,2521,155698,538,0,0,316,0,854
22nd Jan 2022,55254,55299,45759,20605,2691,179608,250,0,0,36,0,286
21st Sep 2021,58983,49611,42456,21050,2999,175099,1426,0,801,599,0,2826
20th May  2021,33513,41313,36854,22238,2627,136545,200,0,0,0,0,200
21st Oct 2021,48598,50834,41760,20257,2655,164104,280,3814,0,360,0,4454
15th May  2021,43321,47313,35692,20994,2370,149690,351,0,0,0,1,352
04th March  2022,51021,58336,47140,19708,2601,178806,250,0,0,555,0,805
01st Oct 2021,54771,48686,42523,20736,3044,169760,1811,48,0,0,0,1859
26th Feb 2022,51435,57335,46567,20118,2277,177732,250,30,0,99,0,379
01st Feb 2022,54163,56392,42713,21184,2706,177158,1175,0,0,218,0,1393
27th July 2021,63617,46696,39758,24422,3019,177512,820,0,0,0,0,820
13th Dec 2021,46876,52591,35248,18044,2454,155213,250,0,0,339,0,589
7th Nov 2021,40710,43202,36737,19426,2504,142579,200,0,0,282,0,482
01st March  2022,49616,57925,46474,20760,2579,177354,250,0,0,194,0,444
4th June  2021,49305,47070,36975,22222,2743,158315,251,0,0,0,3,254
18th May  2021,46997,39015,37580,22085,2425,148102,203,0,0,0,4,207
16th August  2021,61926,50664,36871,22589,2870,174920,200,71,0,0,0,271
24th Oct 2021,47366,53156,41599,21443,2779,166343,200,155,0,300,0,655
19th August  2021,66295,52946,41386,23274,2948,186849,1715,0,0,272,0,1987
12th Dec 2021,49966,55110,38844,18138,2532,164590,250,0,0,434,0,684
6th Nov 2021,37200,41099,35048,20052,2501,135900,0,0,0,0,0,0
29th July 2021,51967,45751,41004,21912,2813,163447,200,0,0,0,0,200
9th Nov 2021,43359,49277,37595,19204,2527,151962,880,0,0,171,0,1051
27th August  2021,59158,54822,41988,22534,2914,181416,2327,470,0,481,0,3278
26th July 2021,61368,44193,34332,23777,2954,166624,480,0,0,140,0,620
27th Feb 2022,49664,56965,46081,20290,2595,175595,250,0,0,303,0,553
09th August  2021,56316,51577,39224,22436,2861,172414,200,0,0,0,0,200
06th August  2021,59013,50686,42797,23060,2904,178460,1340,0,0,0,0,1340
8th May  2021,47203,48927,41110,19186,2407,158833,0,0,0,0,7,7
14th June  2021,50962,44811,33372,20908,2850,152903,200,0,0,0,2,202
11th March  2022,50723,56832,48141,21320,2701,179717,474,0,0,299,0,773
23nd Jan 2022,51937,52984,42741,20418,2686,170766,250,0,0,196,0,446
22nd Apr 2021,46497,51527,44933,21335,2816,167108,350,0,0,0,8,358
19th Nov 2021,46580,53631,37068,18744,2530,158553,200,0,0,189,0,389
24th Sep 2021,49887,49600,42629,22216,3169,167501,200,0,83,209,0,492
2nd Dec 2021,46595,50503,37973,17623,2551,155245,1151,0,0,489,0,1640
14th Sep 2021,53085,46528,41662,21389,3165,165829,205,0,0,0,0,205
29th Nov 2021,44319,52446,32482,17896,2356,149499,200,0,0,313,0,513
07th Feb 2022,50499,53671,39398,20046,2417,166031,250,0,0,242,0,492
13th Jan 2022,52066,51929,41592,18938,2533,167058,450,0,0,210,0,660
06th July 2021,65012,51200,41207,22531,2965,182915,1205,0,0,0,14,1219
12th Apr 2021,47281,51112,44329,21135,2508,166365,370,0,0,0,167,537
01st Jan 2022,53319,53267,39728,19650,2566,168530,250,0,0,448,0,698
26th Nov 2021,46456,55482,37776,18334,2514,160562,1408,115,0,245,0,1768
04th Oct 2021,49379,48520,37583,19999,2691,158172,1640,0,0,246,0,1886
24th June  2021,61556,46603,41349,21381,3045,173934,200,0,0,100,5,305
21th March  2022,49409,56526,42774,22726,2734,174169,15,0,0,259,0,274
19th July 2021,58653,47940,33651,22902,2859,166005,200,0,0,0,2,202
22nd Dec 2021,54092,56830,40481,19339,2584,173326,1200,0,0,470,0,1670
02nd Apr 2021,NR,WR,SR,ER,NER,Total,47153,55110,48510,22865,2495,176133
16th July 2021,64187,50875,37955,23775,2939,179731,200,0,0,181,0,381
03rd Jan 2022,50430,52280,35676,19339,2453,160178,250,0,0,370,0,620
17th Feb 2022,52462,56283,43861,20152,2656,175414,435,0,0,348,0,783
26th August  2021,61237,55155,43096,22061,2950,184499,1888,403,0,1468,0,3759
31st March  2022,50435,60907,47927,23998,2637,185904,1848,116,773,320,0,3057
28th May  2021,48080,46823,35616,14330,2828,147677,200,0,0,0,4,204
29th August  2021,59742,55168,38973,22548,2930,179361,2403,1409,1952,0,25,5789
14th Oct 2021,51980,53860,39191,22051,3088,170170,4745,501,850,75,0,5621
06th Oct 2021,50318,50855,40503,20891,2926,165493,6029,1327,0,2180,0,9536
29th June  2021,63894,48553,41374,22001,2839,178661,920,0,0,0,2,922
09th Oct 2021,49484,52121,40648,22520,3109,167882,6213,834,0,1825,70,8942
26th June  2021,58288,46265,42099,21990,2822,171464,200,0,0,0,11,211
27th March  2022,49981,59090,47677,23539,2508,182795,1420,130,0,473,0,2023
15th Jan 2022,52383,45415,37465,19972,2456,157691,0,0,0,100,0,100
04th July 2021,60890,50477,41692,21354,2750,177163,200,0,0,0,6,206
18th Apr 2021,48178,53339,45372,20592,2526,170007,517,0,0,0,5,522
16th Sep 2021,52330,47381,43693,21705,2983,168092,200,42,0,178,0,420
20th Jan 2022,54963,54180,41193,19863,2641,172840,1637,0,0,539,0,2176
19th Sep 2021,55042,48632,42965,21524,2646,170809,1176,325,950,899,0,3350
24th Nov 2021,47222,55839,39202,18644,2531,163438,350,232,0,314,0,896
22nd May  2021,41352,45271,34655,21458,2657,145393,200,0,0,0,5,205
24th August  2021,59755,52884,41369,22663,2903,179574,375,0,0,0,0,375
19th Oct 2021,46729,52449,41623,19818,2962,163581,200,1735,0,125,0,2060
9th Sep 2021,61685,48356,40956,23170,3021,177188,345,0,0,108,1,454
28th Dec 2021,53645,56279,40809,20271,2616,173620,450,0,0,252,0,702
10th Jan 2022,45767,48585,37552,19483,2499,153886,250,0,0,286,0,536
8th Apr 2021,50103,55226,48946,23588,2659,180522,420,0,0,0,8,428
14th July 2021,61561,49045,38657,22775,3021,175059,200,0,0,0,5,205
11th Feb 2022,51314,56853,43965,19548,2669,174349,250,0,0,272,0,522
18th Dec 2021,52666,55423,40229,19136,2576,170030,250,0,0,0,0,250
4th Nov 2021,42791,48888,37205,20804,2635,152323,200,0,0,37,0,237
24th July 2021,61409,47974,36764,22676,2981,171804,720,0,0,0,0,720
21st Feb 2022,47460,53923,40802,19553,2473,164211,250,0,0,0,0,250
29th Oct 2021,45917,53391,41999,21186,2854,165347,202,0,0,127,0,329
14th August  2021,65698,55264,42257,23128,2998,189345,795,124,0,0,0,919
31st August  2021,60630,49769,39753,22070,2818,175040,275,0,0,0,3,278
10th March  2022,50840,57625,47446,20748,2682,179341,320,101,0,500,0,921
6th June  2021,47203,47397,34148,21886,2293,152927,200,0,0,0,2,202
12th May  2021,46274,48277,39032,18002,2522,154107,200,0,0,0,1,201
26th Oct 2021,44899,53155,41779,21021,2770,163624,200,528,0,476,0,1204
9th June  2021,57008,47765,36978,20996,2736,165483,470,0,0,0,3,473
26th Sep 2021,52824,49478,42553,23575,3118,171548,200,30,0,792,0,1022
7th Apr 2021,48933,55462,45878,23075,2625,175973,350,0,0,0,43,393
25th Jan 2022,54427,55317,42968,20138,2689,175539,250,0,0,334,0,584
28th Apr 2021,49428,50329,43829,23902,2861,170349,350,0,0,0,57,407
14th Nov 2021,46484,54151,37991,19792,2507,160925,200,0,0,60,0,260
8th Dec 2021,49251,54068,39448,17987,2486,163240,475,0,0,397,0,872
29th Sep 2021,56715,48029,41821,21251,2991,170807,280,0,0,113,0,393
19th June  2021,54572,44576,38921,19748,2725,160542,200,0,0,0,2,202
2nd May  2021,48005,46297,38474,21290,2096,156162,213,0,0,0,4,217
16th June  2021,49034,47283,37117,20799,2975,157208,200,0,0,0,4,204
17th March  2022,51702,59997,48210,22707,2777,185393,1531,0,0,696,0,2227
04th August  2021,55103,46758,41752,22660,3067,169340,1976,0,0,0,0,1976
11th Nov 2021,45699,52252,38135,19559,2547,158192,200,0,0,0,0,200
5th Dec 2021,46453,52994,38156,16906,2494,157003,796,0,0,313,0,1109
30th Apr 2021,46463,50018,42830,22487,2842,164640,350,0,0,0,55,405
10th Dec 2021,50176,55142,38849,17809,2563,164539,1017,0,0,362,0,1379
27th Sep 2021,51759,46477,37937,22107,2899,161179,200,20,0,164,0,384
25th Apr 2021,45898,51292,42861,23080,2778,165909,490,0,0,0,65,555
31th July 2021,54113,45877,40842,20600,2888,164320,200,0,0,0,0,200
28th Jan 2022,54927,55591,43079,19383,2652,175632,250,0,0,301,0,551
16th March  2022,51284,59845,47555,22015,2792,183491,1735,15,0,464,0,2214
3rd May  2021,45557,45910,39387,18264,2542,151660,140,0,0,0,3,143
17th June  2021,56221,46869,37784,20122,3000,163996,370,0,0,0,8,378
