date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
19th March  2022,43111,47720,45263,21379,2621,160094,250,4,0,130,0,384
24th Feb 2022,51083,57048,45823,21106,2614,177674,125,0,0,335,0,460
21st July 2021,50808,47375,38104,22883,3031,162201,200,0,0,0,0,200
20th Dec 2021,49838,52109,35520,18712,2409,158588,250,0,0,231,0,481
15th Dec 2021,51391,55000,39216,17681,2542,165830,320,0,0,771,0,1091
27th Oct 2021,46629,53873,42402,21827,2818,167549,200,0,0,175,0,375
09th March  2022,50359,58619,46676,20078,2626,178358,378,0,0,559,0,937
11th August  2021,62424,54666,43514,23480,2974,187058,200,0,20,154,0,374
7th June  2021,48771,44640,32992,20443,2333,149179,200,0,0,0,3,203
13th May  2021,41449,48244,38756,19100,2205,149754,200,0,0,0,1,201
06th March  2022,49960,58580,47277,19911,2542,178270,330,0,0,340,0,670
17th Oct 2021,51753,51356,37844,20039,3078,164070,1376,1972,0,201,0,3549
23rd May  2021,43272,46128,35213,22555,2801,149969,470,0,0,0,4,474
21st  August  2021,60977,51516,41888,21676,2854,178911,200,0,0,0,0,200
7th Sep 2021,62861,49520,38301,23177,2821,176680,730,577,0,187,0,1494
30th Dec 2021,52602,53180,41357,19097,2602,168838,625,0,0,177,0,802
8th Jan 2022,NR,WR,SR,ER,NER,Total,49849,53317,41795,20079,2654,167694
14th Feb 2022,48709,54325,39580,19859,2528,165001,257,0,0,283,0,540
05th Apr 2021,45351,53479,45388,20499,1805,166522,351,0,0,0,647,998
01st Dec 2021,47763,54344,36902,18387,2508,159904,200,0,0,319,0,519
25th Dec 2021,53836,56051,40269,19315,2608,172079,250,945,0,543,0,1738
10th Apr 2021,49599,53589,48780,22464,2662,177094,450,0,0,0,52,502
31st August  2021,60630,49769,39753,22070,2818,175040,275,0,0,0,3,278
26th March  2022,49376,58992,47759,24116,2285,182528,3356,50,0,654,0,4060
27th June  2021,60193,47117,40547,21975,2829,172661,200,0,0,0,2,202
07th Oct 2021,50240,51707,40607,21647,3157,167358,5522,0,560,1729,12,7823
29th March  2022,49350,59661,47566,24194,2559,183330,590,120,0,703,0,1413
20th Apr 2021,49984,53577,45779,22334,2611,174285,500,22,0,0,7,529
21st Nov 2021,45272,53976,36534,18374,2500,156656,200,186,0,123,0,509
07th March  2022,47440,56141,41949,20428,2426,168384,430,0,0,364,0,794
15th Apr 2021,51449,51003,41128,22880,2545,169005,350,0,0,0,9,359
04th Feb 2022,53335,55504,41017,20257,2700,172813,269,0,1800,517,0,2586
18th Jan 2022,54240,53557,39895,19528,2622,169842,1107,0,0,972,0,2079
17th Sep 2021,49237,47281,44611,22175,2958,166262,200,0,0,218,0,418
19th Dec 2021,53469,55606,39412,18904,2559,169950,250,0,0,306,0,556
23rd Feb 2022,50828,57930,45967,20678,2617,178020,250,0,0,207,0,457
22nd July 2021,59098,46696,36753,23114,3044,168705,560,0,0,0,3,563
2nd Nov 2021,45386,52678,38450,19731,2606,158851,200,0,0,429,0,629
16th Dec 2021,51431,55378,39749,17774,2538,166870,250,0,0,613,0,863
05th Feb 2022,54060,56802,41459,18222,2270,172813,250,0,2200,145,0,2595
28th Oct 2021,45688,53379,41989,21613,2829,165498,200,0,0,409,0,609
14th May  2021,44112,48226,37878,20496,2219,152931,200,0,0,0,1,201
8th June  2021,54341,47799,36699,20658,2422,161919,200,0,0,0,3,203
05th March  2022,50505,57764,47176,20395,2587,178427,251,0,0,507,0,758
12th August  2021,62394,55650,43196,22734,2940,186914,350,0,20,1038,2,1410
29th Apr 2021,50487,51030,44815,23975,2368,172675,375,0,13,0,62,450
6th Dec 2021,45092,50893,35089,16957,2363,150394,0,0,0,161,0,161
12th Nov 2021,46577,53698,35930,19071,2591,157867,200,0,0,121,0,321
13th July 2021,61471,49059,38687,22775,3033,175025,200,0,0,0,5,205
01st July 2021,54686,45897,41198,21464,2937,166182,200,0,0,0,0,200
26th Apr 2021,45180,49244,39882,22945,2757,160008,350,0,0,0,76,426
27th Jan 2022,49791,49942,39610,19423,2517,161283,250,0,0,294,0,544
28th Sep 2021,55573,48714,39957,21889,2981,169114,270,0,0,88,0,358
02nd August  2021,51234,43569,38256,21756,2809,157624,1113,0,0,0,0,1113
15th March  2022,51026,58270,47632,22286,2747,181961,400,100,0,367,0,867
18th June  2021,55134,45878,38254,20133,2925,162324,267,0,0,0,6,273
4th May 2021,48431,48160,42233,20333,2586,161743,350,0,0,0,4,354
20th March  2022,48519,56581,44674,21614,2762,174150,250,0,0,266,0,516
25th March  2022,50446,58717,47193,23091,2599,182046,2059,0,0,472,0,2531
28th June  2021,60162,45402,36644,21349,2873,166430,370,0,0,0,10,380
01st Sep 2021,60294,49050,40631,22232,3047,175254,200,0,110,863,2,1175
30th March  2022,50675,61321,47824,23686,2666,186172,670,417,300,611,0,1998
08th Oct 2021,49127,53625,41531,20672,2950,167905,8359,617,70,2367,213,11626
22nd Nov 2021,42471,51224,33984,17447,2342,147468,200,0,0,60,0,260
19th Apr 2021,47075,52324,41517,20944,2529,164389,350,0,0,0,7,357
18th Sep 2021,52106,44034,44608,21420,2748,164916,200,0,0,181,0,381
16th Apr 2021,50731,53389,43514,22550,2613,172797,350,50,0,0,45,445
02nd July 2021,66604,46030,42100,21211,2704,178649,720,0,0,0,10,730
17th Jan 2022,51176,49602,34892,18819,2478,156967,250,0,0,327,0,577
03rd Feb 2022,54449,56827,43791,20302,2647,178016,623,0,300,388,0,1311
18th Oct 2021,43454,50420,36395,20648,2982,153899,200,686,0,570,0,1456
22nd August  2021,58327,50940,40224,21676,3047,174214,200,0,0,0,0,200
24th May  2021,42568,44653,34574,23496,2723,148014,200,0,0,0,4,204
13th Feb 2022,51499,56581,42452,19690,2618,172840,250,0,500,583,0,1333
07th Jan 2022,49725,53457,41992,19555,2659,167388,817,0,0,592,0,1409
29th Dec 2021,50901,51489,41619,18608,2625,165242,362,0,0,45,0,407
8th Sep 2021,60730,48913,39578,22329,2975,174525,729,0,0,135,2,866
9th Apr 2021,49995,54305,48086,22267,2498,177151,350,0,0,0,189,539
26th Dec 2021,52359,56441,38706,19688,2511,169705,200,445,0,218,0,863
20th Oct 2021,46715,50825,41698,19434,2785,161457,1073,2955,0,133,0,4161
23rd August  2021,52194,46388,37332,22535,2873,161322,211,0,0,0,2,213
09th July 2021,66058,51232,40302,22398,3024,183014,1754,0,0,0,4,1758
21th May  2021,39529,44448,35708,21152,2224,143061,200,0,0,0,1,201
15th Oct 2021,52446,53025,37701,21071,2929,167172,2501,638,0,93,0,3232
9th Jan 2022,47042,52599,41830,19939,2591,164001,250,0,0,139,0,389
27th Dec 2021,49539,53978,36079,19334,2476,161406,250,0,0,290,0,540
10th Sep 2021,60442,47543,41914,22731,3097,175727,805,0,0,124,2,931
06th Apr 2021,48100,55945,48172,23546,2533,178296,1298,0,0,0,69,1367
12th Feb 2022,52273,56796,43023,19667,2658,174417,0,0,0,148,0,148
06th Jan 2022,47835,55332,41530,19624,2636,166957,261,0,0,154,0,415
05th Sep 2021,59098,50498,39045,24689,3172,176502,200,0,0,128,2,330
30th June  2021,66160,49850,41585,22498,2778,182871,1205,44,0,0,2,1251
05th Jan 2022,53117,56274,41124,19541,2618,172674,976,1441,0,375,0,2792
05th Oct 2021,51201,51886,41115,20532,2810,167544,3042,0,0,984,0,4026
31th May  2021,45197,45978,35622,21493,2844,151134,540,0,0,0,10,550
25th June  2021,58443,45126,40628,21860,2967,169024,200,0,0,0,5,205
28th March  2022,47486,56460,43631,23023,2638,173238,258,10,0,394,0,662
15th Sep 2021,51145,46821,43318,20467,3125,164876,275,69,0,0,0,344
16th Jan 2022,53323,50317,35558,19571,2530,161299,410,0,0,192,0,602
02nd Feb 2022,52594,56312,43020,20942,2559,175427,1473,0,0,199,0,1672
17th Apr 2021,42276,53218,44605,23008,2516,165623,350,0,0,46,3,399
03rd July 2021,61359,48960,40950,21262,2715,175246,680,0,0,0,4,684
23rd Nov 2021,45708,54592,37848,19078,2451,159677,450,0,0,392,0,842
20th Sep 2021,57103,45268,40458,22553,2939,168321,200,0,0,466,0,666
19th Jan 2022,53573,54131,41220,20143,2637,171704,2184,0,0,940,0,3124
26th Jan 2022,53838,54880,42774,19923,2618,174033,400,0,0,592,0,992
27th Apr 2021,47400,50901,44033,23225,2785,168344,350,0,0,0,78,428
25th Sep 2021,51728,48545,41737,22240,3149,167399,200,920,0,2215,0,3335
29th Jan 2022,54213,55677,42757,20576,2741,175964,670,0,0,387,0,1057
30th Sep 2021,55204,48348,43156,20932,2961,170601,1075,0,0,0,0,1075
7th Dec 2021,48671,54102,39367,17845,2371,162356,0,0,0,269,0,269
13th Nov 2021,46512,53470,37832,19694,2547,160055,100,0,0,165,0,265
20th June  2021,53543,43831,38648,19496,2735,158253,201,0,0,0,2,203
03rd August  2021,55235,45978,41851,22931,2886,168881,1595,0,0,0,0,1595
15th June  2021,55518,47956,36274,20716,2968,163432,200,0,0,0,3,203
18th March  2022,49974,58012,48795,22919,2844,182544,325,0,0,684,0,1009
3rd Nov 2021,45560,51517,39226,20380,2633,159316,700,0,0,190,0,890
17th Dec 2021,52074,55468,39964,18192,2572,168270,250,0,0,427,0,677
04th Sep 2021,57752,51228,40084,24219,3066,176349,200,0,0,500,3,873
23rd July 2021,59957,48711,36435,23273,2993,171369,200,0,0,0,4,204
22nd Feb 2022,52122,55506,45552,20704,2554,176438,250,0,0,285,0,535
08th March  2022,49236,58489,46432,20802,2619,177578,580,0,0,681,0,1261
11th May  2021,47204,48064,39696,20299,2232,157495,200,0,0,0,5,205
5th June  2021,45295,45587,35178,22566,2664,151290,370,0,0,0,3,373
13th August  2021,63091,55833,42808,22644,2982,187358,1331,0,0,0,0,1331
30th Oct 2021,46447,52655,41193,21097,2787,164179,200,0,0,237,0,437
10th June  2021,59240,46579,37295,22228,2873,168215,540,0,0,0,15,555
25th Oct 2021,42540,50551,37275,20910,2656,153932,200,0,0,305,0,505
10th August  2021,59318,54000,43613,23373,2995,183299,430,0,0,0,0,430
13th June  2021,53776,47140,35488,20661,2832,159897,208,0,0,0,2,210
7th May  2021,40366,49080,42110,19662,2495,153713,350,0,0,0,7,357
12th March  2022,50671,58698,47301,21042,2702,180414,541,0,0,591,0,1132
05th August  2021,57567,49017,42693,22377,2933,174587,1270,0,20,0,0,1290
23rd Sep 2021,53527,49204,42418,21664,2998,169811,200,0,0,145,0,345
20th Nov 2021,44943,53346,36529,18892,2467,156177,200,0,0,243,0,443
24nd Jan 2022,50093,51030,38419,19572,2598,161712,250,0,0,95,0,345
21st Apr 2021,46292,51664,44549,23432,2628,168565,350,0,0,0,8,358
15th Nov 2021,43576,52567,34907,18804,2372,152226,200,0,0,0,0,200
15th August  2021,66576,55807,42215,23114,2948,190660,615,304,0,0,4,923
02nd March  2022,49445,55286,45126,19588,2565,172010,250,0,0,213,0,463
17th May  2021,47127,39864,34167,21310,2338,144806,200,0,0,0,6,206
3rd June  2021,47367,46416,37535,21908,2709,155935,470,0,0,0,12,482
20th August  2021,66514,51508,42069,22411,2880,185382,703,48,0,0,0,751
23rd Oct 2021,48295,51626,43056,21286,2777,167040,700,2174,0,434,0,3308
30th July 2021,53608,45672,40933,21826,2827,164866,200,0,0,0,0,200
5th Nov 2021,36388,41143,31062,19737,2472,130802,200,0,0,0,0,200
11th Dec 2021,49714,54985,39377,18231,2494,164801,615,0,0,307,0,922
30th Jan 2022,53849,55414,41996,20453,2720,174432,400,0,0,195,0,595
1st May  2021,50136,49756,43995,22269,2646,168802,350,0,0,0,70,420
25th July 2021,63316,46773,38146,23464,3034,174733,200,0,0,0,0,200
28th Feb 2022,46707,55017,42457,19323,2459,165963,250,0,0,118,0,368
10th Nov 2021,45973,51739,38271,19428,2590,158001,225,40,0,154,0,419
21st Dec 2021,53489,56039,39647,18709,2586,170470,250,0,0,605,0,855
20th July 2021,54044,49360,38013,23822,2981,168220,720,0,0,0,0,720
9th Dec 2021,49269,54782,39893,18175,2557,164676,1429,0,0,532,0,1961
03rd Sep 2021,60151,50250,40537,23093,2860,176891,200,0,0,389,0,589
15th July 2021,59856,49660,37930,23712,2983,174141,200,0,0,181,0,381
18th Feb 2022,52214,56087,44278,20401,2668,175648,250,0,0,364,0,614
04th Jan 2022,53366,55348,40896,19698,2617,171925,450,1379,0,310,0,2139
27th May  2021,47991,47750,35488,15899,2711,149839,990,0,0,0,3,993
25th August  2021,61600,54735,43057,23144,2884,185420,450,389,0,337,0,1176
13th Oct 2021,51501,53359,39259,21649,3117,168885,2205,1608,500,1094,184,5591
30th August  2021,61045,51912,35893,21402,2741,172993,200,0,0,0,1,201
14th Jan 2022,51610,51831,41010,19383,2593,166427,400,0,0,704,0,1104
08th Feb 2022,52749,56424,43964,20191,2691,176019,250,0,0,242,0,492
11th Apr 2021,50096,52559,48485,22357,2466,175963,531,0,0,0,5,536
05th July 2021,61477,48790,36533,21963,2831,171594,640,0,0,0,2,642
30th Nov 2021,47541,54955,36511,18153,2474,159634,500,0,0,345,0,845
13th Sep 2021,51480,46260,37648,22114,3089,160591,200,0,0,0,0,200
25th Nov 2021,46904,55508,38684,18335,2536,161967,450,612,0,166,0,1228
31th Dec 2021,53041,53733,40193,20052,2619,169638,500,0,0,156,0,656
03rd Oct 2021,49532,49323,38848,20784,3021,161508,550,336,0,606,0,1492
10th July 2021,66807,51443,38881,23717,3004,183852,1193,0,0,0,6,1199
23rd June  2021,60418,46442,41448,20853,2930,172091,631,0,0,0,2,633
22nd March  2022,52157,58959,46628,23152,2967,183863,1360,20,0,753,0,2133
10th Feb 2022,52444,56354,44331,19726,2676,175531,250,0,0,209,0,459
28th Nov 2021,46687,56195,36845,18069,2386,160182,1492,0,0,415,0,1907
14th Apr 2021,51786,52456,43707,23065,2475,173489,350,0,0,0,49,399
08th July 2021,66925,52527,39766,21540,2879,183637,1710,0,0,0,2,1712
11th Jan 2022,50860,51105,41947,19597,2628,166137,300,0,0,150,0,450
12th Sep 2021,50610,47831,41392,23311,3155,166299,200,273,0,0,2,475
23rd March  2022,51970,58585,47820,23941,2957,185273,1050,40,0,781,0,1871
22nd June  2021,57876,46232,41181,19749,2945,167983,1040,0,0,0,1,1041
02nd Oct 2021,52382,49666,40428,20832,3194,166502,2035,535,390,1190,0,4150
02nd Sep 2021,59172,49545,40769,23581,2971,176038,200,0,0,477,0,677
15th Feb 2022,51897,56767,42246,20059,2675,173644,250,0,0,254,0,504
18th July 2021,66365,51709,37885,23832,2938,182729,1100,26,0,0,1,1127
04th Apr 2021,48100,55306,48918,23446,2662,178175,793,0,0,0,52,845
24th Dec 2021,54410,56961,40881,20214,2610,175076,1110,0,0,486,0,1596
20th Feb 2022,51560,56446,43256,20323,2611,174196,250,0,0,461,0,711
16th Nov 2021,46664,55593,38446,18984,2474,162161,600,0,0,40,0,640
29th May  2021,48328,47991,37181,18528,2877,154905,480,0,0,0,4,484
12th Oct 2021,50954,53037,39391,22709,3075,169166,3820,1575,400,941,121,6857
26th May  2021,46764,47912,34307,19468,2696,151147,520,0,0,0,1,521
28th August  2021,58041,54108,41262,22516,2755,178682,5733,334,0,747,193,7007
22nd Oct 2021,48218,51831,42183,20736,2831,165799,280,3808,0,465,0,4553
19th May  2021,43221,36479,37514,21876,2328,141418,200,0,0,0,3,203
18th August  2021,66450,54555,40790,22264,2915,186974,2164,191,0,0,0,2355
16th May  2021,46563,48315,35186,21682,2270,154016,200,0,0,0,5,205
03rd March  2022,49469,57684,45597,20231,2617,175598,250,0,0,355,0,605
31th Jan 2022,51157,53973,39330,20721,2575,167756,250,0,0,180,0,430
25th Feb 2022,51454,56605,46039,19641,2653,176392,820,0,0,0,0,820
28th July 2021,57684,45384,40396,24051,3053,170568,495,0,0,0,0,495
8th Nov 2021,41463,45152,34764,19012,2374,142765,200,0,0,186,0,386
14th Dec 2021,50184,55176,39135,17818,2521,164834,448,0,0,528,0,976
13th March  2022,50556,58348,47024,21490,2717,180135,320,0,0,248,0,568
12th June  2021,58412,47234,37638,20674,2849,166807,280,0,0,0,6,286
6th May  2021,49141,49694,41270,16877,2450,159432,140,0,0,0,7,147
08th August  2021,60432,52992,41566,22478,2919,180387,1328,203,20,0,0,1551
9th May  2021,47889,49387,41412,20661,2577,161926,200,0,0,0,7,207
1st Nov 2021,43224,51012,37441,20088,2531,154296,200,0,0,94,0,294
4th Dec 2021,46452,51722,38515,17849,2517,157055,1368,0,0,410,0,1778
18th Nov 2021,46630,54373,38264,18657,2521,160445,438,0,0,137,0,575
