date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
2nd June  2022,60274,58337,44556,23126,3106,189399,773,0,320,353,0,1446
01st Aug 2022,60058,54442,41648,25276,3063,184487,555,0,0,335,0,890
18th June  2022,60620,55555,43252,23186,2260,184873,200,0,0,472,0,672
04th May  2022,58948,59466,44239,19134,2312,184099,943,0,0,0,0,943
29th April  2022,55572,61228,45607,23114,2701,188222,6189,1870,320,2188,211,10778
6th December  2022,49206,55239,42161,20156,2567,169329,0,0,0,508,0,508
12th Novem,47275,54868,39518,19891,2599,164151,200,0,0,487,0,687
01st August 2022,53795,51654,38805,24041,2926,171221,0,0,0,536,0,536
26th April  2022,54242,60607,45717,23271,2748,186585,3131,247,0,1831,40,5249
28th October 2022,45591,47280,41509,21510,2613,158503,152,0,0,504,0,656
14th May  2022,64177,59932,42655,22275,2593,191632,430,0,0,152,0,582
8th June  2022,65721,60342,43616,23765,3050,196494,110,0,0,363,40,513
11th Aug 2022,59774,43814,41936,24909,3470,173903,0,0,0,145,0,145
22th July 2022,57514,51266,41960,26140,3168,180048,35,0,0,589,0,624
02nd Novem,47934,51771,39342,21633,2727,163407,0,0,0,879,0,879
12th July 2022,67908,46668,38561,25191,2981,181309,183,0,0,730,57,970
06th April  2022,53745,61190,47853,23510,2652,188950,1898,750,600,1478,0,4726
08th September 2022,71681,54481,40963,26234,3215,196574,1677,0,0,615,0,2292
18th October 2022,50498,54329,41067,22860,3019,171773,994,0,0,437,0,1431
22nd August  2022,64773,46236,39163,23893,3280,177345,0,0,0,154,0,154
24th May  2022,44973,55568,44664,21718,2994,169917,0,0,0,270,0,270
22nd November,48143,55062,39450,19704,2546,164905,120,0,0,518,0,638
19th April  2022,56094,61550,43338,25137,2571,188690,2408,58,848,634,0,3948
18th September 2022,59851,48638,43709,23336,3155,178689,175,0,0,314,0,489
02nd July 2022,60730,51702,42850,23382,3044,181708,0,0,0,0,46,46
28th June  2022,67574,54605,43081,25296,2892,193448,3227,0,0,438,74,3739
31st Aug 2022,67532,52848,37832,25002,3184,186398,3422,0,0,1654,0,5076
08th October 2022,53590,52439,41718,23623,3118,174488,0,0,0,143,0,143
15th September 2022,63945,48548,43206,24164,3121,182984,250,0,0,88,0,338
17th April  2022,55461,60786,42611,24830,2255,185943,1181,0,804,0,0,1985
3rd July 2022,61934,51085,42331,23419,3086,181855,0,0,0,126,65,191
23rd Novem,48138,55998,41229,19335,2579,167279,0,0,0,541,0,541
20th September 2022,64417,49779,43774,23700,3392,185062,325,0,0,182,0,507
30th June  2022,67099,54698,43581,24135,2825,192338,0,0,0,310,48,358
05th October 2022,59974,54727,38958,21903,2793,178355,100,0,0,0,0,100
31st May  2022,57180,57714,44582,23240,2856,185572,143,0,69,961,0,1173
25th June  2022,65153,54423,43037,24687,3019,190319,26,0,0,62,0,88
10th September 2022,71909,51865,40540,25114,3165,192593,1797,0,0,409,0,2206
13th July 2022,66502,48668,38694,25804,3244,182912,0,0,0,484,0,484
07th April  2022,54201,61627,46721,23990,2543,189082,1968,1415,760,0,60,4203
05th September 2022,68386,49711,38587,24810,3020,184514,110,0,0,445,0,555
20th October 2022,50882,54917,42019,23091,3018,173927,737,0,0,968,0,1705
23rd August  2022,68890,48875,42819,25372,3442,189398,40,0,0,748,0,788
21st May  2022,65181,58597,41686,23731,2495,191690,70,0,0,209,0,279
15th October 2022,51934,53842,41957,23235,3051,174019,70,0,0,228,0,298
11th May  2022,62721,61088,41078,22606,2894,190387,818,0,0,542,0,1360
5th June  2022,60716,59554,44617,22659,2876,190422,2129,0,574,698,17,3418
30th October 2022,46199,50115,40461,20946,2680,160401,769,0,0,437,0,1206
10th June  2022,65332,58731,45384,22782,3035,195264,210,0,0,368,0,578
25th October 2022,38658,40527,32566,21053,1766,134570,0,0,0,0,0,0
03rd Novem,48198,52868,40777,21224,2768,165835,0,0,0,1074,0,1074
02nd October 2022,60766,56283,39823,25689,3380,185941,0,0,0,400,0,400
23th July 2022,58681,50761,40966,25591,3258,179257,35,0,0,943,0,978
20th June  2022,56715,51145,38786,21426,2334,170406,0,0,0,0,0,0
02nd Aug 2022,63148,54782,41350,24971,3156,187407,1029,310,500,1794,45,3678
15th June  2022,65724,57277,44513,21980,2523,192017,2134,0,0,356,0,2490
27th April  2022,53348,62370,47551,23557,2703,189529,5890,0,487,1789,56,8222
13th Novem,NR,WR,SR,ER,NER,Total,46687,55660,39354,19170,2605,163476
09th September 2022,71453,52628,40456,25567,3273,193377,1501,0,0,382,0,1883
28th December 2022,55110,58024,42294,19065,2601,177094,0,0,0,367,0,367
06th September 2022,68533,52964,42688,25597,3106,192888,1796,0,0,880,0,2676
08th April  2022,54014,60138,47809,24337,2610,188908,2552,2220,700,558,94,6124
14th July 2022,67834,48458,39337,25153,3270,184052,70,0,0,509,9,588
22nd May  2022,53523,58182,42523,19476,2502,176206,0,0,0,219,0,219
24th August  2022,67830,51573,43977,24585,3270,191235,365,0,0,956,0,1321
19th October 2022,50825,55302,41322,23038,2988,173475,272,0,0,488,0,760
16th October 2022,50733,53845,40667,23471,3067,171783,422,0,0,134,0,556
04th July 2022,60823,50270,37365,23713,2865,175036,18,0,0,159,64,241
18th April  2022,55198,58721,39366,23991,2334,179610,510,0,888,0,0,1398
16th September 2022,59520,48665,43932,23705,3192,179014,0,0,0,0,0,0
19th September 2022,61066,47895,39392,24213,3247,175813,598,0,0,286,0,884
24th Novem,48809,55854,41738,19294,2592,168287,70,0,0,522,0,592
06th October 2022,53656,48546,38125,21577,2605,164509,0,0,0,0,0,0
29th June  2022,70846,55100,43487,25305,2892,197630,681,0,0,221,25,927
09th October 2022,49017,53767,41722,24032,2833,171371,360,0,0,817,10,1187
26th June  2022,66332,54556,41406,24742,3070,190106,522,0,0,88,0,610
1st June  2022,61441,58654,43817,22861,3142,189915,735,0,0,836,0,1571
19th June  2022,59798,54686,42065,21009,2344,179902,22,0,0,48,0,70
01st April  2022,53636,59709,47201,24107,2466,187119,510,0,35,265,0,810
02nd May  2022,58588,56792,40261,19589,2553,177783,0,0,0,207,0,207
16th June  2022,65224,55785,43630,22825,2331,189795,1123,0,0,482,23,1628
03rd Aug 2022,63192,54616,39998,25465,3184,186455,1573,0,0,892,0,2465
28th April  2022,54066,61058,47100,23285,2627,188136,6483,1789,504,1521,0,10297
14th Novem,43503,52869,35785,18431,2446,153034,90,0,0,468,0,558
29th October 2022,46764,48964,42329,21307,2656,162020,677,0,0,583,0,1260
13th Aug 2022,65613,48836,41312,24715,3239,183715,294,0,0,340,0,634
6th June  2022,60076,56419,38685,22152,2824,180156,587,0,0,476,0,1063
12th May  2022,63672,61132,41331,22961,2849,191945,430,0,0,450,0,880
9th June  2022,65067,59114,44189,24729,3059,196158,500,0,0,436,0,936
04th Novem,48410,53339,41374,20662,2723,166508,0,0,0,472,0,472
24th July 2022,59112,50008,39872,24899,3008,176899,95,0,0,593,0,688
27th October 2022,42768,43028,40086,22123,2509,150514,0,0,0,644,0,644
12th Aug 2022,65107,48039,42063,25156,3510,183875,0,0,0,586,0,586
10th Aug 2022,67219,49465,40552,23465,3374,184075,273,0,0,639,0,912
7th June  2022,63720,59854,43993,23929,3049,194545,952,0,0,676,0,1628
13th May  2022,63331,59963,41902,23692,2777,191665,340,0,0,447,0,787
23th April  2022,53561,60124,44810,22558,2590,183643,4615,906,0,481,0,6002
03rd May  2022,60500,60537,46093,21947,2467,191544,1285,0,0,488,0,1773
17th June  2022,66222,56230,43341,23668,2304,191765,355,0,0,1053,0,1408
11th October 2022,49468,53346,41094,23544,2885,170337,35,0,0,142,0,177
11th Novem,48007,54949,41831,20032,2600,167419,0,0,0,536,0,536
5th December  2022,45198,54429,36764,18959,2393,157743,0,0,0,489,0,489
30th April  2022,55816,62106,46382,21729,2318,188351,5922,655,640,903,0,8120
25th April  2022,52857,59285,42202,23376,2616,180336,2133,0,0,515,0,2648
30th July 2022,57482,53043,42086,25144,3153,180908,35,0,0,945,0,980
20th July 2022,66556,50005,41794,25890,3178,187423,1993,0,536,1121,0,3650
20th April  2022,55099,61403,44188,24662,2662,188014,2769,278,839,583,0,4469
17th September 2022,59216,48098,44085,24598,3186,179183,0,0,0,131,0,131
31th August  2022,64890,54673,41631,25374,3263,189831,3268,0,0,1932,0,5200
27th June  2022,66986,51446,38490,24451,2903,184276,0,0,0,140,20,160
07th October 2022,55821,52904,40378,23365,2933,175401,0,0,0,82,0,82
07th September 2022,69998,54829,41893,25247,3150,195117,1456,0,0,467,0,1923
05th April  2022,54146,60797,48065,23464,2431,188903,919,686,0,84,13,1702
11th July 2022,62168,46415,33856,25095,3026,170560,0,0,0,143,53,196
1st December  2022,48697,56170,41815,19304,2606,168592,0,0,0,528,0,528
09th April  2022,55951,60571,46896,24151,2567,190136,868,1455,361,147,0,2831
15th April  2022,51362,61170,42016,24460,2103,181111,250,0,817,148,0,1215
17th October 2022,48240,51379,36768,21890,2918,161195,0,0,0,205,0,205
23nd May  2022,58041,54358,37887,22043,2723,175052,590,0,0,0,0,590
21st August  2022,65729,48325,43524,23507,3465,184550,0,0,0,0,0,0
21st June  2022,59387,52916,42351,23096,2620,180370,8,0,0,78,23,109
26th October 2022,41591,44172,41625,22864,2294,152546,275,0,0,385,0,660
25th May  2022,52150,58678,44829,23620,3135,182412,1115,0,0,280,0,1395
27th Novem,47764,56580,42003,19777,2651,168775,0,0,0,576,0,576
16th April  2022,55880,61330,42970,24509,2076,186765,1387,0,786,0,0,2173
11th September 2022,71791,51708,39172,24762,3116,190549,204,0,0,554,0,758
07th July 2022,65781,50255,41566,23754,3103,184459,1513,1457,0,1399,81,4450
13th April  2022,55299,60108,45416,24086,2538,187447,2877,2778,1236,1377,227,8495
10th October 2022,46920,51085,36906,23870,2775,161556,0,0,0,121,0,121
30th May  2022,54133,56255,41039,23243,2965,177635,240,0,0,481,0,721
27th August  2022,65743,51706,42445,24763,3370,188027,2726,262,514,2318,0,5820
01st July 2022,55439,54158,42381,25452,2929,180359,0,0,0,118,88,206
03rd April  2022,53201,58808,44711,24020,2644,183384,1000,216,0,449,1,1666
17th July 2022,59898,50294,39942,24075,3277,177486,0,0,0,1448,0,1448
01st October  2022,61973,55951,42509,26837,3308,190578,480,35,0,172,0,687
27th July 2022,62211,50772,41758,24743,3144,182628,15,0,261,392,0,668
07th Novem,45505,52454,36502,20460,2519,157440,0,0,0,334,0,334
01st April  2022,50094,60855,48949,23170,2662,185730,1988,130,563,770,0,3451
20th May  2022,63833,59443,41552,20145,2179,187152,1030,0,0,133,0,1163
21st October 2022,51118,55303,41988,23142,2952,174503,5,0,0,548,0,553
15th May  2022,63660,60179,42099,22498,2613,191049,0,0,0,0,0,0
16th Aug 2022,60384,48180,43729,25550,3324,181167,60,38,0,999,0,1097
24th April  2022,53887,60724,45038,23503,2691,185843,3960,0,0,687,0,4647
17th Novem,47331,55896,41686,19607,2617,167137,684,0,0,431,0,1115
20th September 2022,63699,50024,44682,24693,3416,186514,0,0,0,166,0,166
06th Aug 2022,63890,52529,39052,25711,3281,184463,650,0,0,336,0,986
05th May  2022,48179,60871,43290,21913,2565,176818,0,0,0,667,0,667
11th June  2022,65934,57896,45008,23483,2962,195283,190,0,0,394,0,584
10th May  2022,61002,61877,43288,22157,3018,191342,455,0,0,299,0,754
22th April  2022,53922,60165,44622,24045,2820,185574,2369,193,0,440,0,3002
19th Novem,47604,55482,41365,19715,2606,166772,0,0,0,623,0,623
16th Novem,47186,56103,40975,19369,2570,166203,90,0,0,0,0,90
2nd December  2022,47669,54930,42172,18947,2594,166312,0,0,0,529,0,529
08th Aug 2022,64624,52236,38420,25140,3328,183748,326,0,0,685,0,1011
8th May  2022,59781,59089,44593,22351,3010,188824,0,1371,0,271,0,1642
14th June  2022,62908,55600,44534,23357,2617,189016,2265,0,0,1389,0,3654
06th Novem,47651,54630,40533,21179,2660,166653,110,0,0,419,0,529
29th July 2022,59410,52129,41711,24536,3109,180895,153,0,0,1386,86,1625
09th Novem,47543,56015,45431,21083,2748,172820,162,0,0,1171,0,1333
26th July 2022,59760,50369,41667,25494,3092,180382,0,0,0,407,0,407
4th June  2022,63100,59712,43886,24235,2924,193857,446,0,0,822,0,1268
18th May  2022,62950,60564,41562,23423,2592,191091,880,0,0,630,0,1510
15th Aug 2022,54100,41863,37972,23747,3101,160783,0,0,0,113,0,113
21st April  2022,55114,60045,44625,24548,2513,186845,4205,1576,1462,438,0,7681
24th October 2022,45093,47709,35447,22781,2733,153763,0,0,0,125,0,125
18th Aug 2022,65816,49382,44182,26055,3167,188602,983,270,0,1669,45,2967
26th August  2022,64848,50478,42708,23325,3343,184702,1850,179,0,2370,0,4399
28th May  2022,58602,57083,44367,23009,2794,185855,220,0,0,407,0,627
29th August 2022,64292,52301,38190,24410,3094,182287,1376,0,0,849,0,2225
14th October 2022,50429,54576,42892,23818,2931,174646,103,0,0,601,0,704
20th July 2022,57934,49666,41734,26237,3232,178803,75,0,0,459,0,534
19th July 2022,65128,49579,40362,24916,3164,183149,1980,82,400,1389,67,3918
16th July 2022,62654,48930,41071,24347,3314,180316,0,0,0,534,0,534
04th September 2022,67816,54200,43021,24872,2943,192852,1660,0,0,205,0,1865
04th October 2022,60083,55835,41811,22809,2739,183277,170,0,0,0,0,170
24th June  2022,62232,54300,42466,25236,2854,187088,96,0,0,234,76,406
14th September 2022,67945,49438,42541,23271,3019,186214,150,0,0,139,0,289
29th Novem,47915,56514,41611,19223,2562,167825,0,0,0,599,0,599
06th July 2022,67581,51633,41459,24547,3219,188439,1033,0,40,1201,62,2336
12th April  2022,55400,59894,45606,24213,2469,192989,3283,2426,381,428,0,7844
26th Novem,48037,55835,42189,19606,2626,168293,180,0,0,536,0,716
9th July,70390,50229,40132,24606,3157,188514,555,0,0,1328,33,1916
24thSeptember 2022,53037,48818,44675,26033,3137,175700,0,0,0,195,0,195
3rd December 2022,47473,55431,42376,19153,2575,167008,0,0,0,533,0,533
31st October 2022,44239,48878,37328,19592,2581,152618,100,0,0,455,0,555
27thSeptember 2022,53762,52403,43962,25212,3199,178538,588,0,0,713,0,1301
29thSeptember 2022,58781,53409,44522,25269,3203,185184,150,0,0,928,0,1078
26thSeptember 2022,49917,50604,41600,25198,2892,170211,75,0,0,265,0,340
25thSeptember 2022,48134,51020,45172,26282,3028,173636,0,0,0,648,0,648
7th December 2022,49865,56801,42158,20071,2607,171502,0,4,0,495,0,499
28thSeptember 2022,56739,53696,44723,25661,3112,183931,50,0,0,586,0,636
21st November 2022,44757,52815,36160,17533,2385,153650,150,0,0,567,0,717
30thSeptember 2022,59881,53912,43509,25711,3313,186326,155,0,0,185,0,340
