date,NR_peak_demand,WR_peak_demand,SR_peak_demand,ER_peak_demand,NER_peak_demand,Total_peak_demand,NR_peak_shortage,WR_peak_shortage,SR_peak_shortage,ER_peak_shortage,NER_peak_shortage,Total_peak_shortage
30th July 2022,58822,52866,42755,25500,3310,183253,0,0,0,1178,0,1178
05th Novem,47983,53545,41131,20788,2709,166156,63,0,0,582,0,645
01st May  2022,57187,60654,47621,19074,2414,186950,3758,1554,60,444,0,5816
25th July 2022,57375,46540,36697,24718,3007,168337,0,0,0,481,0,481
10th Novem,47751,55222,42635,20863,2690,169161,12,0,0,441,0,453
14th Aug 2022,61124,47458,36777,21506,2874,169739,368,0,0,239,0,607
17th May  2022,61664,60456,41402,23098,2567,189187,120,0,0,194,0,314
3rd June  2022,62531,59120,43765,23456,3140,192012,825,0,0,577,0,1402
19th Aug 2022,65468,48665,43875,22821,3292,184121,0,0,0,0,0,0
23st October 2022,48494,51521,39833,23068,2954,165870,0,0,0,256,0,256
23rd September 2022,55858,49417,45110,26053,3245,179683,0,0,0,631,0,631
10th April  2022,54831,61781,44912,23997,2638,188159,2024,1940,815,812,0,5591
20th Novem,47789,55641,40705,19336,2554,166025,135,0,0,599,0,734
15th Novem,46441,55438,40478,19695,2565,164617,0,0,0,440,0,440
09th Aug 2022,64527,50283,38991,23169,3333,180303,392,0,0,389,0,781
05th Aug 2022,61630,54348,38499,26755,3326,184558,525,0,0,1222,0,1747
13th June  2022,64077,53098,38992,23407,2676,182250,100,0,0,644,0,744
07th May  2022,58868,60033,42990,22261,2931,187083,429,0,0,127,0,556
04th Aug 2022,64095,54433,39759,25664,3340,187291,728,0,0,1281,0,2009
03nd October 2022,56138,53674,37121,23134,3072,173139,0,0,0,0,0,0
23rd June  2022,60752,53025,42009,25131,2906,183823,190,0,0,0,23,213
11th April  2022,54750,57913,41612,22183,2112,178570,265,774,826,0,0,1865
05th July 2022,65101,52006,42220,24544,3101,186972,1510,0,0,839,67,2416
30th Novem,48326,56380,41531,19352,2578,168167,0,0,0,481,0,481
13th September 2022,70615,50162,41671,23092,3122,188662,59,0,0,0,0,59
10th July 2022,62581,48729,38979,24433,3093,177815,300,0,0,1310,50,1660
25th Novem,48422,56513,42131,19176,2584,168826,160,0,0,476,0,636
27th May  2022,58289,58125,43130,22794,2969,185307,0,0,0,222,0,222
25th August  2022,65709,51584,43849,23229,3468,187839,1003,18,0,1663,0,2684
13th October 2022,51559,54466,42318,22163,2883,173389,70,0,0,325,0,395
30th August 2022,63674,54006,41393,24865,3284,187222,3511,0,827,1792,0,6130
03rd September 2022,64931,54335,42432,26094,3203,190995,3676,0,0,223,0,3899
15th July 2022,60370,48577,39821,24991,3199,176958,0,0,0,544,12,556
29th May  2022,57846,58065,44052,23610,2885,186458,571,0,87,490,0,1148
12th October 2022,49723,54121,42099,21977,2954,170874,1,0,0,0,0,1
26th May  2022,55608,58413,44965,22993,2898,184877,380,0,610,386,0,1376
28th August  2022,64510,53278,41685,24833,3242,187548,2483,0,0,1826,0,4309
02nd September 2022,64407,53875,40363,25295,3160,187100,2479,184,0,1693,0,4356
18th July 2022,59423,47979,36210,25158,3168,171938,70,0,0,1013,0,1083
04rd April  2022,51829,58206,42951,23735,2331,179052,600,180,862,38,0,1680
22nd June  2022,58422,54538,41528,24622,2825,181935,70,0,0,374,29,473
28th Novem,44976,54164,37182,19120,2432,157874,0,0,0,455,0,455
14th April  2022,55655,60142,44551,24135,2656,187139,2079,1860,771,1130,11,5851
08th July 2022,68598,51221,40749,24739,3177,188484,695,0,0,1621,41,2357
12th September 2022,68647,49697,36161,23497,3007,181009,600,0,0,0,0,600
3rd December  2022,48020,56496,41600,19434,2518,168068,144,0,0,548,0,692
18th Novem,47307,55417,41601,20162,2609,167096,145,0,0,561,0,706
22nd September 2022,59573,49536,45256,25110,3414,182889,0,0,0,216,0,216
12th June  2022,65615,55107,43551,23265,2935,190473,144,0,0,812,46,1002
06th May  2022,58769,60125,42968,20173,2836,184871,30,877,0,167,0,1074
07th Aug 2022,57393,49285,35402,24913,3242,170235,185,0,0,241,0,426
9th May  2022,58616,58229,38353,22695,2781,180674,229,0,0,201,0,430
01st Novem,46812,50804,42008,20817,2614,163055,0,0,0,668,0,668
28th July 2022,61414,50972,41570,25311,3228,182495,400,0,255,650,0,1305
08th Novem,47494,54149,41540,20039,2640,165862,220,0,0,500,0,720
22st October 2022,50750,53041,41368,22997,2958,171114,120,0,0,526,0,646
19th May  2022,61030,59900,41978,23413,2399,188720,1949,0,0,1007,0,2956
17th Aug 2022,63772,50024,43999,26017,3480,187292,725,0,0,1130,0,1855
16th May  2022,61354,57284,37851,22207,2449,181145,0,0,0,381,0,381
